Year,Country,GH_Energy,GH_Transport,GH_Total,GH_Waste
2008,OECD - Europe,4175611.5,1020033.063,5299265,189733.203
2009,OECD - Europe,3920783.75,992489.438,4969624,184332.078
2010,OECD - Europe,4019272.75,986161.813,5082699.5,177666.234
2011,OECD - Europe,3878905.25,976038.688,4939252,172637.344
2012,OECD - Europe,3856025.25,960884.25,4906685.5,167580.031
2013,OECD - Europe,3771475,961111.938,4822748,159424.078
2014,OECD - Europe,3606374,971718.563,4664985.5,153731.859
2015,OECD - Europe,3655177.75,988634.438,4705401.5,152001.25
2016,OECD - Europe,3659822.5,1011745.188,4712086.5,148497.375
2017,OECD - Europe,3688908.25,1024717.625,4754649,146357.781
2000,Brazil,298590.676,,756663.676,38517
2001,Brazil,308476.012,,775840.127,39238.843
2002,Brazil,305006.684,,791183.696,39943.627
2003,Brazil,302005.508,,811625.765,40844.63
2004,Brazil,319029.336,,846526.365,41127.079
2005,Brazil,328350.03,,863894.872,41887
2006,Brazil,346581.558,,881670.312,42820.561
2007,Brazil,349868.18,,881781.751,43282.578
2008,Brazil,369819.196,,910097.944,43217.027
2009,Brazil,353889.599,,890514.878,43967.426
2010,Brazil,391065.697,,954324.654,45920.119
2011,Brazil,407544,,991691,48139
2012,Brazil,446154,,1027739,49775
2005,China (People's Republic of),5769854.8,430786,7465861.7,111792
2012,China (People's Republic of),9337323,797083,11895765,158237
2000,Colombia,58673.549,21195.17,110795.2,8934.797
2001,Colombia,56455.992,19813.434,109488.748,9339.204
2002,Colombia,55336.982,19405.655,109966.454,9688.443
2003,Colombia,56964.543,20292.855,113929.085,10017.114
2004,Colombia,57849.226,21593.398,117271.11,10377.085
2005,Colombia,60488.837,22693.304,122238.972,11328.579
2006,Colombia,68885.243,23563.443,130651.1,11416.204
2007,Colombia,67629.138,24282.662,131880.488,11765.007
2008,Colombia,66824.819,23512.644,130025.616,12358.969
2009,Colombia,73809.872,23757.382,137137.328,12689.435
2010,Colombia,72337.047,24460.968,138247.793,13069.431
2011,Colombia,69912.239,26161.307,133918.316,12926.181
2012,Colombia,73369.446,27040.038,139838.472,13135.251
2013,Colombia,81818.816,27680.634,147802.851,13741.926
2014,Colombia,82509.783,29319.12,150614.761,14413.756
2005,Costa Rica,5922.14,3922.36,10878.07,1383.81
2010,Costa Rica,7027.66,4754.26,12511.35,1539.9
2012,Costa Rica,7213.83,4955.55,13257.36,1864.31
2000,India,1027016.49,98104.53,1523766.56,52552.29
2010,India,1510119.38,188009,2100849.73,65052.8
2000,Indonesia,298412,,502363,61351
2001,Indonesia,327938,,537949,63953
2002,Indonesia,340323,,545911,66421
2003,Indonesia,350044,,559139,69146
2004,Indonesia,368508,,583101,71148
2005,Indonesia,372891,,590736,73130
2006,Indonesia,391424,,610242,78358
2007,Indonesia,386593,,607947,79678
2008,Indonesia,409736,,629710,80445
2009,Indonesia,398639,,628562,84644
2010,Indonesia,453178,,685711,88013
2011,Indonesia,488936,,726262,92698
2012,Indonesia,508120,,757250,96325
2013,Indonesia,545408,,796579,99903
2014,Indonesia,602458,,864948,101560
2015,Indonesia,652077,,907334,95281
2016,Indonesia,618580,,883224,97915
2000,Argentina,144647.603,,280308.986,11165.676
2001,Argentina,134416.009,,276902.595,11707.27
2002,Argentina,126990.216,,269315.644,11996.105
2003,Argentina,134679.639,,286381.632,12470.264
2004,Argentina,147202.48,,298167.359,12900.09
2005,Argentina,153583.989,,307492.666,13318.439
2006,Argentina,163284.935,,321462.033,13683.617
2007,Argentina,176271.153,,335854.126,13767.791
2008,Argentina,179889.682,,331802.165,13651.526
2009,Argentina,175596.489,,322554.23,13401.007
2010,Argentina,182101.564,,300695.19,13679.012
2011,Argentina,190651.135,,310314.526,13782.193
2012,Argentina,189624.011,,310670.242,13745.964
2013,Argentina,193650.254,,321011.892,13786.39
2014,Argentina,193477.196,,322554.612,13899.313
2000,European Union (28 countries),4020633.33,926942.349,5168911.903,231454.754
2001,European Union (28 countries),4100286.273,939986.34,5223118.41,227376.77
2002,European Union (28 countries),4074807.525,951333.261,5182922.837,223463.823
2003,European Union (28 countries),4153852.246,960254.835,5265582.685,217386.185
2004,European Union (28 countries),4144897.757,979644.399,5265368.648,208856.293
2005,European Union (28 countries),4122581.408,978838.46,5228428.619,202009.361
2006,European Union (28 countries),4119700.524,985974.619,5214524.886,195841.974
2007,European Union (28 countries),4060635.059,995393.15,5162425.248,189111.298
2008,European Union (28 countries),3981143.014,970708.028,5046999.429,181139.326
2009,European Union (28 countries),3702145.02,943225.698,4681900.46,175139.45
2010,European Union (28 countries),3798121.33,937607.438,4783627.785,167817.55
2011,European Union (28 countries),3650603.348,925532.843,4626382.214,162055.958
2012,European Union (28 countries),3606173.472,895985.359,4563064.707,157923.981
2013,European Union (28 countries),3517191.093,888747.145,4468920.462,151173.032
2014,European Union (28 countries),3337943.073,896142.032,4297635.768,145492.793
2015,European Union (28 countries),3373598.284,913263.603,4327313.203,143160.242
2016,European Union (28 countries),3354721.961,932470.153,4303391.869,140108.652
2017,European Union (28 countries),3367824.369,945871.55,4323163.151,138866.156
