Year,VAR,Variable,Country,Unit,PowerCode,Value
2011,PUBMECTR,Primary treatment,Belgium,Percentage,Units,0.0
2012,PUBMECTR,Primary treatment,Belgium,Percentage,Units,0.0
2013,PUBMECTR,Primary treatment,Belgium,Percentage,Units,0.0
2014,PUBMECTR,Primary treatment,Belgium,Percentage,Units,0.0
2015,PUBMECTR,Primary treatment,Belgium,Percentage,Units,0.0
2016,PUBMECTR,Primary treatment,Belgium,Percentage,Units,0.0
2017,PUBMECTR,Primary treatment,Belgium,Percentage,Units,0.0
2005,PUBMECTR,Primary treatment,Czech Republic,Percentage,Units,0.2
2010,PUBMECTR,Primary treatment,Czech Republic,Percentage,Units,0.1
2011,PUBMECTR,Primary treatment,Czech Republic,Percentage,Units,0.2
2012,PUBMECTR,Primary treatment,Czech Republic,Percentage,Units,0.1
2013,PUBMECTR,Primary treatment,Czech Republic,Percentage,Units,0.2
2014,PUBMECTR,Primary treatment,Czech Republic,Percentage,Units,0.1
2015,PUBMECTR,Primary treatment,Czech Republic,Percentage,Units,0.1
2016,PUBMECTR,Primary treatment,Czech Republic,Percentage,Units,0.1
2017,PUBMECTR,Primary treatment,Czech Republic,Percentage,Units,0.1
1970,PUBMECTR,Primary treatment,Denmark,Percentage,Units,24.6
2000,PUBMECTR,Primary treatment,Denmark,Percentage,Units,0.7
2010,PUBMECTR,Primary treatment,Denmark,Percentage,Units,2.4
2011,PUBMECTR,Primary treatment,Denmark,Percentage,Units,2.4
2012,PUBMECTR,Primary treatment,Denmark,Percentage,Units,2.3
2013,PUBMECTR,Primary treatment,Denmark,Percentage,Units,0.8
2014,PUBMECTR,Primary treatment,Denmark,Percentage,Units,0.0
2015,PUBMECTR,Primary treatment,Denmark,Percentage,Units,0.2
2016,PUBMECTR,Primary treatment,Denmark,Percentage,Units,0.2
2017,PUBMECTR,Primary treatment,Denmark,Percentage,Units,0.2
1970,PUBMECTR,Primary treatment,Finland,Percentage,Units,16.0
1980,PUBMECTR,Primary treatment,Finland,Percentage,Units,4.0
2000,PUBMECTR,Primary treatment,Finland,Percentage,Units,0.0
2010,PUBMECTR,Primary treatment,Finland,Percentage,Units,0.0
2011,PUBMECTR,Primary treatment,Finland,Percentage,Units,0.0
2012,PUBMECTR,Primary treatment,Finland,Percentage,Units,0.0
2013,PUBMECTR,Primary treatment,Finland,Percentage,Units,0.0
2014,PUBMECTR,Primary treatment,Finland,Percentage,Units,0.0
2010,PUBMECTR,Primary treatment,France,Percentage,Units,0.0
2011,PUBMECTR,Primary treatment,France,Percentage,Units,0.0
2012,PUBMECTR,Primary treatment,France,Percentage,Units,0.4
2013,PUBMECTR,Primary treatment,France,Percentage,Units,0.0
2014,PUBMECTR,Primary treatment,France,Percentage,Units,0.0
2015,PUBMECTR,Primary treatment,France,Percentage,Units,0.0
2016,PUBMECTR,Primary treatment,France,Percentage,Units,0.0
2017,PUBMECTR,Primary treatment,France,Percentage,Units,0.0
2005,PUBMECTR,Primary treatment,Germany,Percentage,Units,0.0
2010,PUBMECTR,Primary treatment,Germany,Percentage,Units,0.0
2011,PUBMECTR,Primary treatment,Germany,Percentage,Units,0.0
2012,PUBMECTR,Primary treatment,Germany,Percentage,Units,0.02
2013,PUBMECTR,Primary treatment,Germany,Percentage,Units,0.02
2014,PUBMECTR,Primary treatment,Germany,Percentage,Units,0.02
2015,PUBMECTR,Primary treatment,Germany,Percentage,Units,0.02
2016,PUBMECTR,Primary treatment,Germany,Percentage,Units,0.02
1980,PUBMECTR,Primary treatment,Greece,Percentage,Units,0.0
2010,PUBMECTR,Primary treatment,Greece,Percentage,Units,0.0
2011,PUBMECTR,Primary treatment,Greece,Percentage,Units,0.0
2012,PUBMECTR,Primary treatment,Greece,Percentage,Units,0.0
2013,PUBMECTR,Primary treatment,Greece,Percentage,Units,0.0
2014,PUBMECTR,Primary treatment,Greece,Percentage,Units,0.0
2015,PUBMECTR,Primary treatment,Greece,Percentage,Units,0.0
2016,PUBMECTR,Primary treatment,Greece,Percentage,Units,0.0
1970,PUBMECTR,Primary treatment,Hungary,Percentage,Units,2.0
1980,PUBMECTR,Primary treatment,Hungary,Percentage,Units,7.0
2000,PUBMECTR,Primary treatment,Hungary,Percentage,Units,16.2
2005,PUBMECTR,Primary treatment,Hungary,Percentage,Units,18.9
2010,PUBMECTR,Primary treatment,Hungary,Percentage,Units,2.3
2011,PUBMECTR,Primary treatment,Hungary,Percentage,Units,1.4
2012,PUBMECTR,Primary treatment,Hungary,Percentage,Units,0.1
2013,PUBMECTR,Primary treatment,Hungary,Percentage,Units,0.08
2014,PUBMECTR,Primary treatment,Hungary,Percentage,Units,0.1
2015,PUBMECTR,Primary treatment,Hungary,Percentage,Units,0.12
2016,PUBMECTR,Primary treatment,Hungary,Percentage,Units,0.07
2017,PUBMECTR,Primary treatment,Hungary,Percentage,Units,0.07
2000,PUBMECTR,Primary treatment,Iceland,Percentage,Units,33.0
2005,PUBMECTR,Primary treatment,Iceland,Percentage,Units,55.0
2010,PUBMECTR,Primary treatment,Iceland,Percentage,Units,65.0
1980,PUBMECTR,Primary treatment,Ireland,Percentage,Units,0.2
2011,PUBMECTR,Primary treatment,Ireland,Percentage,Units,1.379999995
2012,PUBMECTR,Primary treatment,Ireland,Percentage,Units,1.1
2013,PUBMECTR,Primary treatment,Ireland,Percentage,Units,1.02
2014,PUBMECTR,Primary treatment,Ireland,Percentage,Units,0.94
2015,PUBMECTR,Primary treatment,Ireland,Percentage,Units,0.87
2016,PUBMECTR,Primary treatment,Ireland,Percentage,Units,0.79
2017,PUBMECTR,Primary treatment,Ireland,Percentage,Units,0.79
1970,PUBMECTR,Primary treatment,Italy,Percentage,Units,8.0
2005,PUBMECTR,Primary treatment,Italy,Percentage,Units,2.3
2012,PUBMECTR,Primary treatment,Italy,Percentage,Units,3.3
2015,PUBMECTR,Primary treatment,Italy,Percentage,Units,2.9
2000,PUBMECTR,Primary treatment,Korea,Percentage,Units,1.100000024
2005,PUBMECTR,Primary treatment,Korea,Percentage,Units,0.699999988
2010,PUBMECTR,Primary treatment,Korea,Percentage,Units,0.0
2011,PUBMECTR,Primary treatment,Korea,Percentage,Units,2.2649799999999998e-06
2012,PUBMECTR,Primary treatment,Korea,Percentage,Units,-3.45707e-06
2013,PUBMECTR,Primary treatment,Korea,Percentage,Units,0.01
2014,PUBMECTR,Primary treatment,Korea,Percentage,Units,0.01
2015,PUBMECTR,Primary treatment,Korea,Percentage,Units,0.01
2016,PUBMECTR,Primary treatment,Korea,Percentage,Units,0.0
1970,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,23.0
1980,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,16.0
2010,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,4.4
2011,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,4.1
2012,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,2.0
2013,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,1.9
2014,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,1.8
2015,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,1.9
2016,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,1.6
2017,PUBMECTR,Primary treatment,Luxembourg,Percentage,Units,1.6
1970,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,15.0
1980,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,7.9
2000,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2005,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2010,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2011,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2012,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2013,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2014,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2015,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2016,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2017,PUBMECTR,Primary treatment,Netherlands,Percentage,Units,0.0
2000,PUBMECTR,Primary treatment,New Zealand,Percentage,Units,14.0
1970,PUBMECTR,Primary treatment,Norway,Percentage,Units,1.0
1980,PUBMECTR,Primary treatment,Norway,Percentage,Units,7.0
2000,PUBMECTR,Primary treatment,Norway,Percentage,Units,22.1
2005,PUBMECTR,Primary treatment,Norway,Percentage,Units,20.6
2010,PUBMECTR,Primary treatment,Norway,Percentage,Units,21.9
2011,PUBMECTR,Primary treatment,Norway,Percentage,Units,19.9
2012,PUBMECTR,Primary treatment,Norway,Percentage,Units,19.1
2013,PUBMECTR,Primary treatment,Norway,Percentage,Units,19.3
2014,PUBMECTR,Primary treatment,Norway,Percentage,Units,19.4
2015,PUBMECTR,Primary treatment,Norway,Percentage,Units,18.1
2016,PUBMECTR,Primary treatment,Norway,Percentage,Units,21.8
2017,PUBMECTR,Primary treatment,Norway,Percentage,Units,21.3
2000,PUBMECTR,Primary treatment,Poland,Percentage,Units,3.4
2005,PUBMECTR,Primary treatment,Poland,Percentage,Units,2.1
2010,PUBMECTR,Primary treatment,Poland,Percentage,Units,0.1
2011,PUBMECTR,Primary treatment,Poland,Percentage,Units,0.1
2012,PUBMECTR,Primary treatment,Poland,Percentage,Units,0.2
2013,PUBMECTR,Primary treatment,Poland,Percentage,Units,0.1
2014,PUBMECTR,Primary treatment,Poland,Percentage,Units,0.0
2015,PUBMECTR,Primary treatment,Poland,Percentage,Units,0.0
2016,PUBMECTR,Primary treatment,Poland,Percentage,Units,0.0
2017,PUBMECTR,Primary treatment,Poland,Percentage,Units,0.0
2005,PUBMECTR,Primary treatment,Portugal,Percentage,Units,10.9
2017,PUBMECTR,Primary treatment,Portugal,Percentage,Units,6.97
1980,PUBMECTR,Primary treatment,Spain,Percentage,Units,8.8
2000,PUBMECTR,Primary treatment,Spain,Percentage,Units,1.0
2005,PUBMECTR,Primary treatment,Spain,Percentage,Units,1.0
2010,PUBMECTR,Primary treatment,Spain,Percentage,Units,3.0
2011,PUBMECTR,Primary treatment,Spain,Percentage,Units,0.6
2012,PUBMECTR,Primary treatment,Spain,Percentage,Units,0.6
2014,PUBMECTR,Primary treatment,Spain,Percentage,Units,1.7
1970,PUBMECTR,Primary treatment,Sweden,Percentage,Units,19.0
1980,PUBMECTR,Primary treatment,Sweden,Percentage,Units,1.0
2000,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
2005,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
2010,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
2011,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
2012,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
2013,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
2014,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
2015,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
2016,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
2017,PUBMECTR,Primary treatment,Sweden,Percentage,Units,0.0
1970,PUBMECTR,Primary treatment,Switzerland,Percentage,Units,0.0
1980,PUBMECTR,Primary treatment,Switzerland,Percentage,Units,0.0
2000,PUBMECTR,Primary treatment,Switzerland,Percentage,Units,0.0
2005,PUBMECTR,Primary treatment,Switzerland,Percentage,Units,0.0
2010,PUBMECTR,Primary treatment,Switzerland,Percentage,Units,0.0
2013,PUBMECTR,Primary treatment,Switzerland,Percentage,Units,0.0
2000,PUBMECTR,Primary treatment,Turkey,Percentage,Units,8.0
2005,PUBMECTR,Primary treatment,Turkey,Percentage,Units,13.6
2010,PUBMECTR,Primary treatment,Turkey,Percentage,Units,14.5
2012,PUBMECTR,Primary treatment,Turkey,Percentage,Units,16.3
2013,PUBMECTR,Primary treatment,Turkey,Percentage,Units,20.89
2014,PUBMECTR,Primary treatment,Turkey,Percentage,Units,20.9
2015,PUBMECTR,Primary treatment,Turkey,Percentage,Units,14.51
2016,PUBMECTR,Primary treatment,Turkey,Percentage,Units,14.4
2010,PUBMECTR,Primary treatment,United Kingdom,Percentage,Units,0.0
2014,PUBMECTR,Primary treatment,United Kingdom,Percentage,Units,0.0
2000,PUBMECTR,Primary treatment,United States,Percentage,Units,2.299999952
2012,PUBMECTR,Primary treatment,United States,Percentage,Units,1.3
2005,PUBMECTR,Primary treatment,Chile,Percentage,Units,21.70000076
2010,PUBMECTR,Primary treatment,Chile,Percentage,Units,21.83530045
2011,PUBMECTR,Primary treatment,Chile,Percentage,Units,23.06290054
2012,PUBMECTR,Primary treatment,Chile,Percentage,Units,23.8
2013,PUBMECTR,Primary treatment,Chile,Percentage,Units,23.8
2014,PUBMECTR,Primary treatment,Chile,Percentage,Units,22.4
2015,PUBMECTR,Primary treatment,Chile,Percentage,Units,22.3
2016,PUBMECTR,Primary treatment,Chile,Percentage,Units,24.11
2017,PUBMECTR,Primary treatment,Chile,Percentage,Units,26.73
2000,PUBMECTR,Primary treatment,Estonia,Percentage,Units,1.0
2005,PUBMECTR,Primary treatment,Estonia,Percentage,Units,1.0
2010,PUBMECTR,Primary treatment,Estonia,Percentage,Units,0.5
2011,PUBMECTR,Primary treatment,Estonia,Percentage,Units,0.6
2012,PUBMECTR,Primary treatment,Estonia,Percentage,Units,0.6
2013,PUBMECTR,Primary treatment,Estonia,Percentage,Units,0.1
2014,PUBMECTR,Primary treatment,Estonia,Percentage,Units,0.0
2015,PUBMECTR,Primary treatment,Estonia,Percentage,Units,0.05
2016,PUBMECTR,Primary treatment,Estonia,Percentage,Units,0.08
2017,PUBMECTR,Primary treatment,Estonia,Percentage,Units,0.03
1980,PUBMECTR,Primary treatment,Israel,Percentage,Units,23.89999962
2000,PUBMECTR,Primary treatment,Israel,Percentage,Units,11.8
2005,PUBMECTR,Primary treatment,Israel,Percentage,Units,8.9
2010,PUBMECTR,Primary treatment,Israel,Percentage,Units,5.9
2011,PUBMECTR,Primary treatment,Israel,Percentage,Units,5.7
2012,PUBMECTR,Primary treatment,Israel,Percentage,Units,5.5
2013,PUBMECTR,Primary treatment,Israel,Percentage,Units,5.3
2014,PUBMECTR,Primary treatment,Israel,Percentage,Units,5.1
2015,PUBMECTR,Primary treatment,Israel,Percentage,Units,5.0
2016,PUBMECTR,Primary treatment,Israel,Percentage,Units,4.9
2017,PUBMECTR,Primary treatment,Israel,Percentage,Units,4.8
2000,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,10.0
2005,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,5.0
2010,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,0.4
2011,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,0.4
2012,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,0.5
2013,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,0.5
2014,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,0.4
2015,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,0.0
2016,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,0.0
2017,PUBMECTR,Primary treatment,Slovenia,Percentage,Units,0.0
1970,PUBBIOTR,Secondary treatment,Austria,Percentage,Units,5.0
1980,PUBBIOTR,Secondary treatment,Austria,Percentage,Units,25.0
2010,PUBBIOTR,Secondary treatment,Austria,Percentage,Units,1.3
2012,PUBBIOTR,Secondary treatment,Austria,Percentage,Units,1.0
2014,PUBBIOTR,Secondary treatment,Austria,Percentage,Units,1.2
2016,PUBBIOTR,Secondary treatment,Austria,Percentage,Units,1.2
1970,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,3.8
1980,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,22.9
2000,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,5.5
2005,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,7.7
2010,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,8.6
2011,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,8.3
2012,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,10.18
2013,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,10.86
2014,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,5.76
2015,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,6.14
2016,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,7.32
2017,PUBBIOTR,Secondary treatment,Belgium,Percentage,Units,8.37
2005,PUBBIOTR,Secondary treatment,Czech Republic,Percentage,Units,16.9
2010,PUBBIOTR,Secondary treatment,Czech Republic,Percentage,Units,8.7
2011,PUBBIOTR,Secondary treatment,Czech Republic,Percentage,Units,7.9
2012,PUBBIOTR,Secondary treatment,Czech Republic,Percentage,Units,8.6
2013,PUBBIOTR,Secondary treatment,Czech Republic,Percentage,Units,8.2
2014,PUBBIOTR,Secondary treatment,Czech Republic,Percentage,Units,8.8
2015,PUBBIOTR,Secondary treatment,Czech Republic,Percentage,Units,8.7
2016,PUBBIOTR,Secondary treatment,Czech Republic,Percentage,Units,8.6
2017,PUBBIOTR,Secondary treatment,Czech Republic,Percentage,Units,8.4
1970,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,22.9
2000,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,4.4
2010,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,2.4
2011,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,1.9
2012,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,1.8
2013,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,1.9
2014,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,2.0
2015,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,1.7
2016,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,1.8
2017,PUBBIOTR,Secondary treatment,Denmark,Percentage,Units,1.4
1970,PUBBIOTR,Secondary treatment,Finland,Percentage,Units,11.0
1980,PUBBIOTR,Secondary treatment,Finland,Percentage,Units,1.0
2000,PUBBIOTR,Secondary treatment,Finland,Percentage,Units,0.0
2010,PUBBIOTR,Secondary treatment,Finland,Percentage,Units,0.0
2011,PUBBIOTR,Secondary treatment,Finland,Percentage,Units,0.0
2012,PUBBIOTR,Secondary treatment,Finland,Percentage,Units,0.0
2013,PUBBIOTR,Secondary treatment,Finland,Percentage,Units,0.0
2014,PUBBIOTR,Secondary treatment,Finland,Percentage,Units,0.0
2010,PUBBIOTR,Secondary treatment,France,Percentage,Units,13.2
2011,PUBBIOTR,Secondary treatment,France,Percentage,Units,15.8
2012,PUBBIOTR,Secondary treatment,France,Percentage,Units,16.1
2013,PUBBIOTR,Secondary treatment,France,Percentage,Units,16.0
2014,PUBBIOTR,Secondary treatment,France,Percentage,Units,14.0
2015,PUBBIOTR,Secondary treatment,France,Percentage,Units,14.0
2016,PUBBIOTR,Secondary treatment,France,Percentage,Units,12.0
2017,PUBBIOTR,Secondary treatment,France,Percentage,Units,11.0
2005,PUBBIOTR,Secondary treatment,Germany,Percentage,Units,1.4
2010,PUBBIOTR,Secondary treatment,Germany,Percentage,Units,3.0
2011,PUBBIOTR,Secondary treatment,Germany,Percentage,Units,2.8
2012,PUBBIOTR,Secondary treatment,Germany,Percentage,Units,2.65
2013,PUBBIOTR,Secondary treatment,Germany,Percentage,Units,2.5
2014,PUBBIOTR,Secondary treatment,Germany,Percentage,Units,2.38
2015,PUBBIOTR,Secondary treatment,Germany,Percentage,Units,2.26
2016,PUBBIOTR,Secondary treatment,Germany,Percentage,Units,2.14
1980,PUBBIOTR,Secondary treatment,Greece,Percentage,Units,0.5
2010,PUBBIOTR,Secondary treatment,Greece,Percentage,Units,7.8
2011,PUBBIOTR,Secondary treatment,Greece,Percentage,Units,6.2
2012,PUBBIOTR,Secondary treatment,Greece,Percentage,Units,6.28
2013,PUBBIOTR,Secondary treatment,Greece,Percentage,Units,3.6
2014,PUBBIOTR,Secondary treatment,Greece,Percentage,Units,3.6
2015,PUBBIOTR,Secondary treatment,Greece,Percentage,Units,6.44
2016,PUBBIOTR,Secondary treatment,Greece,Percentage,Units,6.44
1970,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,4.0
1980,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,12.0
2000,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,24.3
2005,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,20.4
2010,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,36.4
2011,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,34.0
2012,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,17.9
2013,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,16.67
2014,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,15.09
2015,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,10.07
2016,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,9.44
2017,PUBBIOTR,Secondary treatment,Hungary,Percentage,Units,7.12
2000,PUBBIOTR,Secondary treatment,Iceland,Percentage,Units,0.0
2005,PUBBIOTR,Secondary treatment,Iceland,Percentage,Units,2.0
2010,PUBBIOTR,Secondary treatment,Iceland,Percentage,Units,0.0
1980,PUBBIOTR,Secondary treatment,Ireland,Percentage,Units,11.0
2011,PUBBIOTR,Secondary treatment,Ireland,Percentage,Units,49.0
2012,PUBBIOTR,Secondary treatment,Ireland,Percentage,Units,42.27
2013,PUBBIOTR,Secondary treatment,Ireland,Percentage,Units,41.75
2014,PUBBIOTR,Secondary treatment,Ireland,Percentage,Units,41.24
2015,PUBBIOTR,Secondary treatment,Ireland,Percentage,Units,40.73
2016,PUBBIOTR,Secondary treatment,Ireland,Percentage,Units,40.24
2017,PUBBIOTR,Secondary treatment,Ireland,Percentage,Units,40.24
1970,PUBBIOTR,Secondary treatment,Italy,Percentage,Units,6.0
2005,PUBBIOTR,Secondary treatment,Italy,Percentage,Units,18.3
2012,PUBBIOTR,Secondary treatment,Italy,Percentage,Units,22.4
2015,PUBBIOTR,Secondary treatment,Italy,Percentage,Units,18.7
1970,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,16.0
1980,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,30.0
2000,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,54.0
2005,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,55.25640106
2010,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,54.90000153
2011,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,55.411701199999996
2012,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,53.9
2013,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,52.8
2014,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,51.8
2015,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,50.8
2016,PUBBIOTR,Secondary treatment,Japan,Percentage,Units,50.4
2000,PUBBIOTR,Secondary treatment,Korea,Percentage,Units,68.0
2005,PUBBIOTR,Secondary treatment,Korea,Percentage,Units,64.69999695
2010,PUBBIOTR,Secondary treatment,Korea,Percentage,Units,35.5
2011,PUBBIOTR,Secondary treatment,Korea,Percentage,Units,32.09999847
2012,PUBBIOTR,Secondary treatment,Korea,Percentage,Units,31.10000038
2013,PUBBIOTR,Secondary treatment,Korea,Percentage,Units,10.03
2014,PUBBIOTR,Secondary treatment,Korea,Percentage,Units,9.08
2015,PUBBIOTR,Secondary treatment,Korea,Percentage,Units,8.31
2016,PUBBIOTR,Secondary treatment,Korea,Percentage,Units,4.0759010689999995
1970,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,5.0
1980,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,65.0
2010,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,62.0
2011,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,59.9
2012,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,27.3
2013,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,26.5
2014,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,26.7
2015,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,25.3
2016,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,20.3
2017,PUBBIOTR,Secondary treatment,Luxembourg,Percentage,Units,21.8
1970,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,29.0
1980,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,61.9
2000,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,16.5
2005,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,2.5
2010,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,1.3
2011,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,1.1
2012,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,1.1
2013,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,1.0
2014,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,1.0
2015,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,0.9
2016,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,0.8
2017,PUBBIOTR,Secondary treatment,Netherlands,Percentage,Units,0.8
2000,PUBBIOTR,Secondary treatment,New Zealand,Percentage,Units,26.0
1970,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,0.0
1980,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,1.0
2000,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,0.9
2005,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,1.4
2010,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,1.6
2011,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,1.6
2012,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,1.4
2013,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,1.4
2014,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,1.6
2015,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,1.6
2016,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,2.5
2017,PUBBIOTR,Secondary treatment,Norway,Percentage,Units,3.9
2000,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,30.1
2005,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,20.8
2010,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,14.9
2011,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,13.3
2012,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,13.9
2013,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,14.2
2014,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,13.8
2015,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,13.7
2016,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,13.7
2017,PUBBIOTR,Secondary treatment,Poland,Percentage,Units,14.0
2005,PUBBIOTR,Secondary treatment,Portugal,Percentage,Units,27.4
2017,PUBBIOTR,Secondary treatment,Portugal,Percentage,Units,46.66
2013,PUBBIOTR,Secondary treatment,Slovak Republic,Percentage,Units,58.31
2014,PUBBIOTR,Secondary treatment,Slovak Republic,Percentage,Units,59.87
2015,PUBBIOTR,Secondary treatment,Slovak Republic,Percentage,Units,60.63
2016,PUBBIOTR,Secondary treatment,Slovak Republic,Percentage,Units,61.8
2017,PUBBIOTR,Secondary treatment,Slovak Republic,Percentage,Units,63.2
1980,PUBBIOTR,Secondary treatment,Spain,Percentage,Units,9.1
2000,PUBBIOTR,Secondary treatment,Spain,Percentage,Units,65.0
2010,PUBBIOTR,Secondary treatment,Spain,Percentage,Units,33.0
2012,PUBBIOTR,Secondary treatment,Spain,Percentage,Units,28.1
