IUCN Category,Species,Country,Unit,PowerCode,Value
Total number of known species,Mammals,Australia,Number,Units,402
Number of endangered species,Mammals,Australia,Number,Units,37
Number of critically endangered species,Mammals,Australia,Number,Units,5
Number of vulnerable species,Mammals,Australia,Number,Units,67
Total number of threatened species,Mammals,Australia,Number,Units,109
Total number of known species,Mammals,Austria,Number,Units,101
Total number of indigenous known species,Mammals,Austria,Number,Units,101
Number of endangered species,Mammals,Austria,Number,Units,6
Number of critically endangered species,Mammals,Austria,Number,Units,4
Number of vulnerable species,Mammals,Austria,Number,Units,17
Total number of threatened species,Mammals,Austria,Number,Units,27
Number of endangered indigenous species,Mammals,Austria,Number,Units,6
Number of critically endangered indigenous species,Mammals,Austria,Number,Units,4
Number of vulnerable indigenous species,Mammals,Austria,Number,Units,17
Total number of known species,Mammals,Belgium,Number,Units,84
Total number of indigenous known species,Mammals,Belgium,Number,Units,65
Number of endangered species,Mammals,Belgium,Number,Units,2
Number of critically endangered species,Mammals,Belgium,Number,Units,4
Number of vulnerable species,Mammals,Belgium,Number,Units,12
Total number of threatened species,Mammals,Belgium,Number,Units,18
Number of endangered indigenous species,Mammals,Belgium,Number,Units,2
Number of critically endangered indigenous species,Mammals,Belgium,Number,Units,4
Number of vulnerable indigenous species,Mammals,Belgium,Number,Units,12
Total number of known species,Mammals,Canada,Number,Units,221
Total number of indigenous known species,Mammals,Canada,Number,Units,209
Number of endangered species,Mammals,Canada,Number,Units,10
Number of vulnerable species,Mammals,Canada,Number,Units,31
Total number of threatened species,Mammals,Canada,Number,Units,52
Number of endangered indigenous species,Mammals,Canada,Number,Units,10
Number of vulnerable indigenous species,Mammals,Canada,Number,Units,31
Total number of known species,Mammals,Czech Republic,Number,Units,91
Total number of indigenous known species,Mammals,Czech Republic,Number,Units,77
Number of endangered species,Mammals,Czech Republic,Number,Units,1
Number of critically endangered species,Mammals,Czech Republic,Number,Units,10
Number of vulnerable species,Mammals,Czech Republic,Number,Units,4
Total number of threatened species,Mammals,Czech Republic,Number,Units,15
Total number of known species,Mammals,Denmark,Number,Units,67
Total number of indigenous known species,Mammals,Denmark,Number,Units,58
Number of endangered species,Mammals,Denmark,Number,Units,1
Number of vulnerable species,Mammals,Denmark,Number,Units,10
Total number of threatened species,Mammals,Denmark,Number,Units,11
Number of endangered indigenous species,Mammals,Denmark,Number,Units,1
Number of vulnerable indigenous species,Mammals,Denmark,Number,Units,10
Total number of known species,Mammals,Finland,Number,Units,75
Total number of indigenous known species,Mammals,Finland,Number,Units,67
Number of endangered species,Mammals,Finland,Number,Units,4
Number of critically endangered species,Mammals,Finland,Number,Units,1
Number of vulnerable species,Mammals,Finland,Number,Units,2
Total number of threatened species,Mammals,Finland,Number,Units,7
Number of endangered indigenous species,Mammals,Finland,Number,Units,4
Number of critically endangered indigenous species,Mammals,Finland,Number,Units,1
Number of vulnerable indigenous species,Mammals,Finland,Number,Units,2
Total number of known species,Mammals,France,Number,Units,125
Number of endangered species,Mammals,France,Number,Units,4
Number of critically endangered species,Mammals,France,Number,Units,3
Number of vulnerable species,Mammals,France,Number,Units,10
Total number of threatened species,Mammals,France,Number,Units,17
Total number of known species,Mammals,Germany,Number,Units,93
Total number of indigenous known species,Mammals,Germany,Number,Units,85
Number of endangered species,Mammals,Germany,Number,Units,9
Number of critically endangered species,Mammals,Germany,Number,Units,8
Number of vulnerable species,Mammals,Germany,Number,Units,15
Total number of threatened species,Mammals,Germany,Number,Units,32
Number of endangered indigenous species,Mammals,Germany,Number,Units,9
Number of critically endangered indigenous species,Mammals,Germany,Number,Units,8
Number of vulnerable indigenous species,Mammals,Germany,Number,Units,15
Total number of known species,Mammals,Greece,Number,Units,115
Total number of indigenous known species,Mammals,Greece,Number,Units,113
Number of endangered species,Mammals,Greece,Number,Units,13
Number of critically endangered species,Mammals,Greece,Number,Units,3
Number of vulnerable species,Mammals,Greece,Number,Units,13
Total number of threatened species,Mammals,Greece,Number,Units,29
Number of endangered indigenous species,Mammals,Greece,Number,Units,13
Number of critically endangered indigenous species,Mammals,Greece,Number,Units,3
Number of vulnerable indigenous species,Mammals,Greece,Number,Units,13
Total number of known species,Mammals,Hungary,Number,Units,87
Total number of indigenous known species,Mammals,Hungary,Number,Units,76
Number of endangered species,Mammals,Hungary,Number,Units,3
Number of critically endangered species,Mammals,Hungary,Number,Units,5
Number of vulnerable species,Mammals,Hungary,Number,Units,6
Total number of threatened species,Mammals,Hungary,Number,Units,14
Number of endangered indigenous species,Mammals,Hungary,Number,Units,3
Number of critically endangered indigenous species,Mammals,Hungary,Number,Units,5
Number of vulnerable indigenous species,Mammals,Hungary,Number,Units,6
Total number of known species,Mammals,Iceland,Number,Units,4
Total number of known species,Mammals,Ireland,Number,Units,57
Total number of indigenous known species,Mammals,Ireland,Number,Units,46
Number of vulnerable species,Mammals,Ireland,Number,Units,1
Total number of threatened species,Mammals,Ireland,Number,Units,1
Total number of known species,Mammals,Italy,Number,Units,126
Number of endangered species,Mammals,Italy,Number,Units,8
Number of critically endangered species,Mammals,Italy,Number,Units,2
Number of vulnerable species,Mammals,Italy,Number,Units,13
Total number of threatened species,Mammals,Italy,Number,Units,23
Total number of known species,Mammals,Japan,Number,Units,160
Number of endangered species,Mammals,Japan,Number,Units,12
Number of critically endangered species,Mammals,Japan,Number,Units,12
Number of vulnerable species,Mammals,Japan,Number,Units,9
Total number of threatened species,Mammals,Japan,Number,Units,33
Total number of known species,Mammals,Korea,Number,Units,125
Number of endangered species,Mammals,Korea,Number,Units,4
Number of critically endangered species,Mammals,Korea,Number,Units,1
Number of vulnerable species,Mammals,Korea,Number,Units,9
Total number of threatened species,Mammals,Korea,Number,Units,14
Total number of known species,Mammals,Mexico,Number,Units,564
Total number of indigenous known species,Mammals,Mexico,Number,Units,162
Number of endangered species,Mammals,Mexico,Number,Units,50
Number of critically endangered species,Mammals,Mexico,Number,Units,11
Number of vulnerable species,Mammals,Mexico,Number,Units,90
Total number of threatened species,Mammals,Mexico,Number,Units,151
Number of endangered indigenous species,Mammals,Mexico,Number,Units,24
Number of critically endangered indigenous species,Mammals,Mexico,Number,Units,8
Number of vulnerable indigenous species,Mammals,Mexico,Number,Units,52
Total number of known species,Mammals,Netherlands,Number,Units,53
Number of endangered species,Mammals,Netherlands,Number,Units,3
Number of critically endangered species,Mammals,Netherlands,Number,Units,2
Number of vulnerable species,Mammals,Netherlands,Number,Units,6
Total number of threatened species,Mammals,Netherlands,Number,Units,11
Total number of known species,Mammals,New Zealand,Number,Units,65
Total number of indigenous known species,Mammals,New Zealand,Number,Units,37
Number of endangered indigenous species,Mammals,New Zealand,Number,Units,2
Number of critically endangered indigenous species,Mammals,New Zealand,Number,Units,6
Number of vulnerable indigenous species,Mammals,New Zealand,Number,Units,2
Total number of known species,Mammals,Norway,Number,Units,89
Total number of indigenous known species,Mammals,Norway,Number,Units,73
Number of endangered species,Mammals,Norway,Number,Units,5
Number of critically endangered species,Mammals,Norway,Number,Units,5
Number of vulnerable species,Mammals,Norway,Number,Units,7
Total number of threatened species,Mammals,Norway,Number,Units,17
Number of endangered indigenous species,Mammals,Norway,Number,Units,5
Number of critically endangered indigenous species,Mammals,Norway,Number,Units,5
Number of vulnerable indigenous species,Mammals,Norway,Number,Units,7
Total number of known species,Mammals,Poland,Number,Units,112
Total number of indigenous known species,Mammals,Poland,Number,Units,100
Number of endangered species,Mammals,Poland,Number,Units,10
Number of critically endangered species,Mammals,Poland,Number,Units,2
Number of vulnerable species,Mammals,Poland,Number,Units,1
Total number of threatened species,Mammals,Poland,Number,Units,13
Number of endangered indigenous species,Mammals,Poland,Number,Units,10
Number of critically endangered indigenous species,Mammals,Poland,Number,Units,2
Number of vulnerable indigenous species,Mammals,Poland,Number,Units,1
Total number of known species,Mammals,Portugal,Number,Units,158
Total number of indigenous known species,Mammals,Portugal,Number,Units,108
Number of endangered species,Mammals,Portugal,Number,Units,7
Number of critically endangered species,Mammals,Portugal,Number,Units,11
Number of vulnerable species,Mammals,Portugal,Number,Units,13
Total number of threatened species,Mammals,Portugal,Number,Units,31
Number of endangered indigenous species,Mammals,Portugal,Number,Units,7
Number of critically endangered indigenous species,Mammals,Portugal,Number,Units,11
Number of vulnerable indigenous species,Mammals,Portugal,Number,Units,13
Total number of known species,Mammals,Slovak Republic,Number,Units,90
Total number of indigenous known species,Mammals,Slovak Republic,Number,Units,85
Number of endangered species,Mammals,Slovak Republic,Number,Units,6
Number of critically endangered species,Mammals,Slovak Republic,Number,Units,2
Number of vulnerable species,Mammals,Slovak Republic,Number,Units,12
Total number of threatened species,Mammals,Slovak Republic,Number,Units,20
Number of endangered indigenous species,Mammals,Slovak Republic,Number,Units,6
Number of critically endangered indigenous species,Mammals,Slovak Republic,Number,Units,2
Number of vulnerable indigenous species,Mammals,Slovak Republic,Number,Units,12
Total number of known species,Mammals,Spain,Number,Units,114
Number of endangered species,Mammals,Spain,Number,Units,4
Number of critically endangered species,Mammals,Spain,Number,Units,2
Number of vulnerable species,Mammals,Spain,Number,Units,13
Total number of threatened species,Mammals,Spain,Number,Units,19
Number of endangered indigenous species,Mammals,Spain,Number,Units,4
Number of critically endangered indigenous species,Mammals,Spain,Number,Units,2
Number of vulnerable indigenous species,Mammals,Spain,Number,Units,13
Total number of known species,Mammals,Sweden,Number,Units,65
Total number of indigenous known species,Mammals,Sweden,Number,Units,65
Number of endangered species,Mammals,Sweden,Number,Units,3
Number of critically endangered species,Mammals,Sweden,Number,Units,5
Number of vulnerable species,Mammals,Sweden,Number,Units,6
Total number of threatened species,Mammals,Sweden,Number,Units,14
Number of endangered indigenous species,Mammals,Sweden,Number,Units,3
Number of critically endangered indigenous species,Mammals,Sweden,Number,Units,5
Number of vulnerable indigenous species,Mammals,Sweden,Number,Units,6
Total number of known species,Mammals,Switzerland,Number,Units,93
Total number of indigenous known species,Mammals,Switzerland,Number,Units,81
Number of endangered species,Mammals,Switzerland,Number,Units,13
Number of critically endangered species,Mammals,Switzerland,Number,Units,5
Number of vulnerable species,Mammals,Switzerland,Number,Units,16
Total number of threatened species,Mammals,Switzerland,Number,Units,34
Number of endangered indigenous species,Mammals,Switzerland,Number,Units,13
Number of critically endangered indigenous species,Mammals,Switzerland,Number,Units,5
Number of vulnerable indigenous species,Mammals,Switzerland,Number,Units,16
Total number of known species,Mammals,Turkey,Number,Units,161
Total number of threatened species,Mammals,Turkey,Number,Units,23
Total number of known species,Mammals,United Kingdom,Number,Units,99
Number of endangered species,Mammals,United Kingdom,Number,Units,4
Number of critically endangered species,Mammals,United Kingdom,Number,Units,2
Number of vulnerable species,Mammals,United Kingdom,Number,Units,5
Total number of threatened species,Mammals,United Kingdom,Number,Units,11
Number of endangered indigenous species,Mammals,United Kingdom,Number,Units,4
Number of critically endangered indigenous species,Mammals,United Kingdom,Number,Units,2
Number of vulnerable indigenous species,Mammals,United Kingdom,Number,Units,5
Total number of known species,Mammals,United States,Number,Units,453
Total number of indigenous known species,Mammals,United States,Number,Units,428
Number of endangered species,Mammals,United States,Number,Units,16
Number of critically endangered species,Mammals,United States,Number,Units,13
Number of vulnerable species,Mammals,United States,Number,Units,49
Total number of threatened species,Mammals,United States,Number,Units,78
Number of endangered indigenous species,Mammals,United States,Number,Units,16
Number of critically endangered indigenous species,Mammals,United States,Number,Units,13
Number of vulnerable indigenous species,Mammals,United States,Number,Units,47
Total number of known species,Mammals,Chile,Number,Units,175
Total number of indigenous known species,Mammals,Chile,Number,Units,162
Number of endangered species,Mammals,Chile,Number,Units,13
Number of vulnerable species,Mammals,Chile,Number,Units,20
Total number of threatened species,Mammals,Chile,Number,Units,36
Number of endangered indigenous species,Mammals,Chile,Number,Units,13
Number of vulnerable indigenous species,Mammals,Chile,Number,Units,20
Total number of known species,Mammals,Estonia,Number,Units,65
Total number of indigenous known species,Mammals,Estonia,Number,Units,61
Number of endangered species,Mammals,Estonia,Number,Units,1
Number of vulnerable species,Mammals,Estonia,Number,Units,1
Total number of threatened species,Mammals,Estonia,Number,Units,2
Number of endangered indigenous species,Mammals,Estonia,Number,Units,1
Number of vulnerable indigenous species,Mammals,Estonia,Number,Units,1
Total number of indigenous known species,Mammals,Israel,Number,Units,105
Number of endangered indigenous species,Mammals,Israel,Number,Units,27
Number of critically endangered indigenous species,Mammals,Israel,Number,Units,15
Number of vulnerable indigenous species,Mammals,Israel,Number,Units,19
Total number of known species,Mammals,Russia,Number,Units,320
Total number of threatened species,Mammals,Russia,Number,Units,40
Total number of known species,Mammals,Slovenia,Number,Units,89
Number of endangered species,Mammals,Slovenia,Number,Units,19
Number of vulnerable species,Mammals,Slovenia,Number,Units,15
Total number of threatened species,Mammals,Slovenia,Number,Units,34
Number of endangered indigenous species,Mammals,Slovenia,Number,Units,19
Number of vulnerable indigenous species,Mammals,Slovenia,Number,Units,15
Total number of known species,Birds,Australia,Number,Units,790
Number of endangered species,Birds,Australia,Number,Units,51
Number of critically endangered species,Birds,Australia,Number,Units,16
Number of vulnerable species,Birds,Australia,Number,Units,66
Total number of threatened species,Birds,Australia,Number,Units,133
Number of endangered indigenous species,Birds,Australia,Number,Units,51
Number of critically endangered indigenous species,Birds,Australia,Number,Units,16
Number of vulnerable indigenous species,Birds,Australia,Number,Units,66
Total number of known species,Birds,Austria,Number,Units,242
Total number of indigenous known species,Birds,Austria,Number,Units,242
Number of endangered species,Birds,Austria,Number,Units,14
Number of critically endangered species,Birds,Austria,Number,Units,33
Number of vulnerable species,Birds,Austria,Number,Units,19
Total number of threatened species,Birds,Austria,Number,Units,66
Number of endangered indigenous species,Birds,Austria,Number,Units,14
Number of critically endangered indigenous species,Birds,Austria,Number,Units,33
Number of vulnerable indigenous species,Birds,Austria,Number,Units,19
Total number of known species,Birds,Belgium,Number,Units,198
Total number of indigenous known species,Birds,Belgium,Number,Units,178
Number of endangered species,Birds,Belgium,Number,Units,15
Number of critically endangered species,Birds,Belgium,Number,Units,20
Number of vulnerable species,Birds,Belgium,Number,Units,20
Total number of threatened species,Birds,Belgium,Number,Units,55
Number of endangered indigenous species,Birds,Belgium,Number,Units,15
Number of critically endangered indigenous species,Birds,Belgium,Number,Units,20
Number of vulnerable indigenous species,Birds,Belgium,Number,Units,20
Total number of known species,Birds,Canada,Number,Units,674
Total number of indigenous known species,Birds,Canada,Number,Units,664
Number of endangered species,Birds,Canada,Number,Units,14
Number of vulnerable species,Birds,Canada,Number,Units,48
Total number of threatened species,Birds,Canada,Number,Units,88
Number of endangered indigenous species,Birds,Canada,Number,Units,14
Number of vulnerable indigenous species,Birds,Canada,Number,Units,48
Total number of known species,Birds,Czech Republic,Number,Units,210
Total number of indigenous known species,Birds,Czech Republic,Number,Units,208
Number of endangered species,Birds,Czech Republic,Number,Units,28
Number of critically endangered species,Birds,Czech Republic,Number,Units,35
Number of vulnerable species,Birds,Czech Republic,Number,Units,36
Total number of threatened species,Birds,Czech Republic,Number,Units,99
Total number of known species,Birds,Denmark,Number,Units,209
Total number of indigenous known species,Birds,Denmark,Number,Units,209
Number of endangered species,Birds,Denmark,Number,Units,13
Number of critically endangered species,Birds,Denmark,Number,Units,8
Number of vulnerable species,Birds,Denmark,Number,Units,13
Total number of threatened species,Birds,Denmark,Number,Units,34
Number of endangered indigenous species,Birds,Denmark,Number,Units,13
Number of critically endangered indigenous species,Birds,Denmark,Number,Units,8
Number of vulnerable indigenous species,Birds,Denmark,Number,Units,13
Total number of known species,Birds,Finland,Number,Units,248
Total number of indigenous known species,Birds,Finland,Number,Units,245
Number of endangered species,Birds,Finland,Number,Units,36
Number of critically endangered species,Birds,Finland,Number,Units,13
Number of vulnerable species,Birds,Finland,Number,Units,38
Total number of threatened species,Birds,Finland,Number,Units,87
Number of endangered indigenous species,Birds,Finland,Number,Units,36
Number of critically endangered indigenous species,Birds,Finland,Number,Units,13
Number of vulnerable indigenous species,Birds,Finland,Number,Units,38
Total number of known species,Birds,France,Number,Units,391
Total number of indigenous known species,Birds,France,Number,Units,284
Number of endangered species,Birds,France,Number,Units,33
Number of critically endangered species,Birds,France,Number,Units,16
Number of vulnerable species,Birds,France,Number,Units,58
Total number of threatened species,Birds,France,Number,Units,107
Number of endangered indigenous species,Birds,France,Number,Units,30
Number of vulnerable indigenous species,Birds,France,Number,Units,46
Total number of known species,Birds,Germany,Number,Units,264
Total number of indigenous known species,Birds,Germany,Number,Units,244
Number of endangered species,Birds,Germany,Number,Units,24
Number of critically endangered species,Birds,Germany,Number,Units,30
Number of vulnerable species,Birds,Germany,Number,Units,40
Total number of threatened species,Birds,Germany,Number,Units,94
Number of endangered indigenous species,Birds,Germany,Number,Units,24
Number of critically endangered indigenous species,Birds,Germany,Number,Units,30
Number of vulnerable indigenous species,Birds,Germany,Number,Units,40
Total number of known species,Birds,Greece,Number,Units,440
Total number of indigenous known species,Birds,Greece,Number,Units,351
Number of endangered species,Birds,Greece,Number,Units,17
Number of critically endangered species,Birds,Greece,Number,Units,14
Number of vulnerable species,Birds,Greece,Number,Units,31
Total number of threatened species,Birds,Greece,Number,Units,62
Number of endangered indigenous species,Birds,Greece,Number,Units,17
Number of critically endangered indigenous species,Birds,Greece,Number,Units,14
Number of vulnerable indigenous species,Birds,Greece,Number,Units,31
Total number of known species,Birds,Hungary,Number,Units,435
Total number of indigenous known species,Birds,Hungary,Number,Units,420
Number of endangered species,Birds,Hungary,Number,Units,23
Number of critically endangered species,Birds,Hungary,Number,Units,20
Number of vulnerable species,Birds,Hungary,Number,Units,35
Total number of threatened species,Birds,Hungary,Number,Units,78
Number of endangered indigenous species,Birds,Hungary,Number,Units,23
Number of critically endangered indigenous species,Birds,Hungary,Number,Units,20
Number of vulnerable indigenous species,Birds,Hungary,Number,Units,35
Total number of known species,Birds,Iceland,Number,Units,75
Number of endangered species,Birds,Iceland,Number,Units,11
Number of critically endangered species,Birds,Iceland,Number,Units,6
Number of vulnerable species,Birds,Iceland,Number,Units,16
Total number of threatened species,Birds,Iceland,Number,Units,33
Total number of known species,Birds,Ireland,Number,Units,478
Total number of indigenous known species,Birds,Ireland,Number,Units,478
Number of endangered species,Birds,Ireland,Number,Units,37
Number of vulnerable species,Birds,Ireland,Number,Units,90
Total number of threatened species,Birds,Ireland,Number,Units,127
Total number of known species,Birds,Italy,Number,Units,267
Number of endangered species,Birds,Italy,Number,Units,22
Number of critically endangered species,Birds,Italy,Number,Units,6
Number of vulnerable species,Birds,Italy,Number,Units,46
Total number of threatened species,Birds,Italy,Number,Units,74
Total number of known species,Birds,Japan,Number,Units,700
Number of endangered species,Birds,Japan,Number,Units,31
Number of critically endangered species,Birds,Japan,Number,Units,23
Number of vulnerable species,Birds,Japan,Number,Units,43
Total number of threatened species,Birds,Japan,Number,Units,97
Total number of known species,Birds,Korea,Number,Units,527
Number of endangered species,Birds,Korea,Number,Units,18
Number of critically endangered species,Birds,Korea,Number,Units,1
Number of vulnerable species,Birds,Korea,Number,Units,36
Total number of threatened species,Birds,Korea,Number,Units,55
Total number of known species,Birds,Luxembourg,Number,Units,131
Total number of indigenous known species,Birds,Luxembourg,Number,Units,5
Number of endangered species,Birds,Luxembourg,Number,Units,9
Number of critically endangered species,Birds,Luxembourg,Number,Units,7
Number of vulnerable species,Birds,Luxembourg,Number,Units,9
Total number of threatened species,Birds,Luxembourg,Number,Units,25
Total number of known species,Birds,Mexico,Number,Units,1123
Total number of indigenous known species,Birds,Mexico,Number,Units,194
Number of endangered species,Birds,Mexico,Number,Units,90
Number of critically endangered species,Birds,Mexico,Number,Units,19
Number of vulnerable species,Birds,Mexico,Number,Units,124
Total number of threatened species,Birds,Mexico,Number,Units,233
Number of endangered indigenous species,Birds,Mexico,Number,Units,40
Number of critically endangered indigenous species,Birds,Mexico,Number,Units,13
Number of vulnerable indigenous species,Birds,Mexico,Number,Units,29
Total number of known species,Birds,Netherlands,Number,Units,168
Number of endangered species,Birds,Netherlands,Number,Units,12
Number of critically endangered species,Birds,Netherlands,Number,Units,9
Number of vulnerable species,Birds,Netherlands,Number,Units,19
Total number of threatened species,Birds,Netherlands,Number,Units,40
Total number of known species,Birds,New Zealand,Number,Units,254
Total number of indigenous known species,Birds,New Zealand,Number,Units,217
Number of endangered indigenous species,Birds,New Zealand,Number,Units,13
Number of critically endangered indigenous species,Birds,New Zealand,Number,Units,20
Number of vulnerable indigenous species,Birds,New Zealand,Number,Units,32
Total number of known species,Birds,Norway,Number,Units,264
Total number of indigenous known species,Birds,Norway,Number,Units,232
Number of endangered species,Birds,Norway,Number,Units,15
Number of critically endangered species,Birds,Norway,Number,Units,6
Number of vulnerable species,Birds,Norway,Number,Units,25
Total number of threatened species,Birds,Norway,Number,Units,46
Number of endangered indigenous species,Birds,Norway,Number,Units,15
Number of critically endangered indigenous species,Birds,Norway,Number,Units,6
Number of vulnerable indigenous species,Birds,Norway,Number,Units,25
Total number of known species,Birds,Poland,Number,Units,451
Total number of indigenous known species,Birds,Poland,Number,Units,445
Number of endangered species,Birds,Poland,Number,Units,8
Number of critically endangered species,Birds,Poland,Number,Units,16
Number of vulnerable species,Birds,Poland,Number,Units,10
Total number of threatened species,Birds,Poland,Number,Units,34
Number of endangered indigenous species,Birds,Poland,Number,Units,8
Number of critically endangered indigenous species,Birds,Poland,Number,Units,16
Number of vulnerable indigenous species,Birds,Poland,Number,Units,10
Total number of known species,Birds,Portugal,Number,Units,393
Total number of indigenous known species,Birds,Portugal,Number,Units,362
Number of endangered species,Birds,Portugal,Number,Units,30
Number of critically endangered species,Birds,Portugal,Number,Units,20
Number of vulnerable species,Birds,Portugal,Number,Units,61
Total number of threatened species,Birds,Portugal,Number,Units,111
Number of endangered indigenous species,Birds,Portugal,Number,Units,30
Number of critically endangered indigenous species,Birds,Portugal,Number,Units,20
Number of vulnerable indigenous species,Birds,Portugal,Number,Units,61
Total number of known species,Birds,Slovak Republic,Number,Units,211
Number of endangered species,Birds,Slovak Republic,Number,Units,24
Number of critically endangered species,Birds,Slovak Republic,Number,Units,10
Number of vulnerable species,Birds,Slovak Republic,Number,Units,17
Total number of threatened species,Birds,Slovak Republic,Number,Units,51
Number of endangered indigenous species,Birds,Slovak Republic,Number,Units,24
Number of critically endangered indigenous species,Birds,Slovak Republic,Number,Units,10
Number of vulnerable indigenous species,Birds,Slovak Republic,Number,Units,17
Total number of known species,Birds,Spain,Number,Units,581
Number of endangered species,Birds,Spain,Number,Units,33
Number of critically endangered species,Birds,Spain,Number,Units,18
Number of vulnerable species,Birds,Spain,Number,Units,63
Total number of threatened species,Birds,Spain,Number,Units,114
Number of endangered indigenous species,Birds,Spain,Number,Units,33
Number of critically endangered indigenous species,Birds,Spain,Number,Units,18
Number of vulnerable indigenous species,Birds,Spain,Number,Units,63
Total number of known species,Birds,Sweden,Number,Units,257
Total number of indigenous known species,Birds,Sweden,Number,Units,257
Number of endangered species,Birds,Sweden,Number,Units,11
Number of critically endangered species,Birds,Sweden,Number,Units,6
Number of vulnerable species,Birds,Sweden,Number,Units,35
Total number of threatened species,Birds,Sweden,Number,Units,52
Number of endangered indigenous species,Birds,Sweden,Number,Units,11
Number of critically endangered indigenous species,Birds,Sweden,Number,Units,6
Number of vulnerable indigenous species,Birds,Sweden,Number,Units,35
Total number of known species,Birds,Switzerland,Number,Units,205
Total number of indigenous known species,Birds,Switzerland,Number,Units,199
Number of endangered species,Birds,Switzerland,Number,Units,21
Number of critically endangered species,Birds,Switzerland,Number,Units,9
Number of vulnerable species,Birds,Switzerland,Number,Units,41
Total number of threatened species,Birds,Switzerland,Number,Units,71
Number of endangered indigenous species,Birds,Switzerland,Number,Units,21
Number of critically endangered indigenous species,Birds,Switzerland,Number,Units,9
Number of vulnerable indigenous species,Birds,Switzerland,Number,Units,41
Total number of known species,Birds,Turkey,Number,Units,460
Total number of threatened species,Birds,Turkey,Number,Units,17
Total number of known species,Birds,United Kingdom,Number,Units,590
Number of endangered species,Birds,United Kingdom,Number,Units,50
Number of critically endangered species,Birds,United Kingdom,Number,Units,27
Number of vulnerable species,Birds,United Kingdom,Number,Units,57
Total number of threatened species,Birds,United Kingdom,Number,Units,134
Number of endangered indigenous species,Birds,United Kingdom,Number,Units,50
Number of critically endangered indigenous species,Birds,United Kingdom,Number,Units,27
Number of vulnerable indigenous species,Birds,United Kingdom,Number,Units,57
Total number of known species,Birds,United States,Number,Units,831
Total number of indigenous known species,Birds,United States,Number,Units,766
Number of endangered species,Birds,United States,Number,Units,25
Number of critically endangered species,Birds,United States,Number,Units,36
Number of vulnerable species,Birds,United States,Number,Units,40
Total number of threatened species,Birds,United States,Number,Units,101
Number of endangered indigenous species,Birds,United States,Number,Units,23
Number of critically endangered indigenous species,Birds,United States,Number,Units,35
Number of vulnerable indigenous species,Birds,United States,Number,Units,39
Total number of known species,Birds,Chile,Number,Units,498
Total number of indigenous known species,Birds,Chile,Number,Units,492
Number of endangered species,Birds,Chile,Number,Units,21
Number of vulnerable species,Birds,Chile,Number,Units,22
Total number of threatened species,Birds,Chile,Number,Units,45
Number of endangered indigenous species,Birds,Chile,Number,Units,21
Number of vulnerable indigenous species,Birds,Chile,Number,Units,22
Total number of known species,Birds,Estonia,Number,Units,377
Total number of indigenous known species,Birds,Estonia,Number,Units,370
Number of endangered species,Birds,Estonia,Number,Units,8
Number of critically endangered species,Birds,Estonia,Number,Units,8
Number of vulnerable species,Birds,Estonia,Number,Units,22
Total number of threatened species,Birds,Estonia,Number,Units,38
Number of endangered indigenous species,Birds,Estonia,Number,Units,8
Number of critically endangered indigenous species,Birds,Estonia,Number,Units,8
Number of vulnerable indigenous species,Birds,Estonia,Number,Units,22
Total number of known species,Birds,Russia,Number,Units,732
Total number of threatened species,Birds,Russia,Number,Units,56
Total number of known species,Birds,Slovenia,Number,Units,380
Total number of indigenous known species,Birds,Slovenia,Number,Units,365
Number of endangered species,Birds,Slovenia,Number,Units,43
Number of critically endangered species,Birds,Slovenia,Number,Units,17
Number of vulnerable species,Birds,Slovenia,Number,Units,45
Total number of threatened species,Birds,Slovenia,Number,Units,105
Number of endangered indigenous species,Birds,Slovenia,Number,Units,43
Number of critically endangered indigenous species,Birds,Slovenia,Number,Units,17
Number of vulnerable indigenous species,Birds,Slovenia,Number,Units,45
Total number of known species,Reptiles,Australia,Number,Units,1025
Number of endangered species,Reptiles,Australia,Number,Units,18
Number of critically endangered species,Reptiles,Australia,Number,Units,10
Number of vulnerable species,Reptiles,Australia,Number,Units,33
Total number of threatened species,Reptiles,Australia,Number,Units,61
Number of endangered indigenous species,Reptiles,Australia,Number,Units,18
Number of critically endangered indigenous species,Reptiles,Australia,Number,Units,10
Number of vulnerable indigenous species,Reptiles,Australia,Number,Units,33
Total number of known species,Reptiles,Austria,Number,Units,14
Total number of indigenous known species,Reptiles,Austria,Number,Units,14
Number of endangered species,Reptiles,Austria,Number,Units,3
Number of critically endangered species,Reptiles,Austria,Number,Units,3
Number of vulnerable species,Reptiles,Austria,Number,Units,3
Total number of threatened species,Reptiles,Austria,Number,Units,9
Number of endangered indigenous species,Reptiles,Austria,Number,Units,3
Number of critically endangered indigenous species,Reptiles,Austria,Number,Units,3
Number of vulnerable indigenous species,Reptiles,Austria,Number,Units,3
Total number of known species,Reptiles,Belgium,Number,Units,10
Total number of indigenous known species,Reptiles,Belgium,Number,Units,7
Number of endangered species,Reptiles,Belgium,Number,Units,2
Number of vulnerable species,Reptiles,Belgium,Number,Units,2
Total number of threatened species,Reptiles,Belgium,Number,Units,4
Number of endangered indigenous species,Reptiles,Belgium,Number,Units,2
Number of vulnerable indigenous species,Reptiles,Belgium,Number,Units,2
Total number of known species,Reptiles,Canada,Number,Units,45
Total number of indigenous known species,Reptiles,Canada,Number,Units,43
Number of endangered species,Reptiles,Canada,Number,Units,6
Number of vulnerable species,Reptiles,Canada,Number,Units,15
