Year,Country,Municipal waste generated,Municipal waste treated,Other municipal waste,Waste from households
2002,OECD Asia Oceania,92374.633,,,
2003,OECD Asia Oceania,92738.32,,,
2004,OECD Asia Oceania,91761.148,,,
2005,OECD Asia Oceania,90554.039,,,
2006,OECD Asia Oceania,90090.242,,,
2007,OECD Asia Oceania,89281.555,,,
2008,OECD Asia Oceania,87400.375,,,
2009,OECD Asia Oceania,85315.578,,,
2010,OECD Asia Oceania,83972.773,,,
2011,OECD Asia Oceania,84011.32,,,
2012,OECD Asia Oceania,83811.289,,,
2013,OECD Asia Oceania,83433.148,,,
2014,OECD Asia Oceania,83531.898,,,
2015,OECD Asia Oceania,84333.188,,,
2016,OECD Asia Oceania,84807.953,,,
2017,OECD Asia Oceania,85057.195,,,
2000,OECD America,276382.313,,,
2001,OECD America,275123.969,,,
2002,OECD America,280454.719,,,
2003,OECD America,282751.281,,,
2004,OECD America,292006.656,,,
2005,OECD America,293030.594,,,
2006,OECD America,297247.594,,,
2007,OECD America,297850.719,,,
2008,OECD America,295440.406,,,
2009,OECD America,289569.938,,,
2010,OECD America,297263.438,,,
2011,OECD America,298768.313,,,
2012,OECD America,300912.813,,,
2013,OECD America,304164.031,,,
2014,OECD America,307671.938,,,
2015,OECD America,307882.906,,,
2016,OECD America,307925.281,,,
2017,OECD America,307925.281,,,
