Year,Country,VAR,Variable,Unit Code,Unit,PowerCode,Value
2017,Greece,INCINERATION_WITHOUT,Incineration without energy recovery,TONNE,Tonnes,Thousands,0.0
2000,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4056.0
2001,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4157.0
2002,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4233.0
2003,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4328.25
2004,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4298.25
2005,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4294.54
2006,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4295.06
2007,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,3999.32
2008,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4180.94
2009,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4181.0
2010,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4903.0
2011,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4578.0
2012,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4507.0
2013,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4421.0
2014,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4470.0
2015,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4426.0
2016,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4415.0
2017,Greece,LANDFILL,Landfill,TONNE,Tonnes,Thousands,4335.0
2000,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2001,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2002,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2003,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2004,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2005,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2006,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2007,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2008,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2009,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2010,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2011,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,16.0
2012,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,0.0
2013,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,29.0
2014,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,25.0
2015,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,18.0
2016,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,27.0
2017,Greece,INCINERATION,Total Incineration,TONNE,Tonnes,Thousands,58.0
2000,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,8.792
2001,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,8.818
2002,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,8.772
2003,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,8.11
2004,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,10.106
2005,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,11.767000000000001
2006,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,12.829
2007,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,20.04
2008,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,17.664
2009,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,18.879
2010,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,17.137
2011,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,17.759
2012,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,16.969
2013,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,15.783
2014,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,15.427999999999999
2015,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,15.785
2016,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,17.235
2017,Greece,MAT_RECOV_SHARE,% Material recovery (Recycling + Composting),PC,Percentage,Units,18.873
2000,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,8.073
2001,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,8.116
2002,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,8.082
2003,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,8.11
2004,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,10.06
2005,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,11.161
2006,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,11.183
2007,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,18.087
2008,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,15.695
2009,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,18.160999999999998
2010,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,14.737
2011,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,14.894
2012,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,13.674000000000001
2013,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,12.245
2014,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,12.267000000000001
2015,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,13.227
2016,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,13.844000000000001
2017,Greece,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,14.737
2000,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,0.72
2001,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,0.7020000000000001
2002,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,0.69
2003,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,0.0
2004,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,0.046
2005,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,0.605
2006,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,1.646
2007,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,1.953
2008,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,1.969
2009,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,0.718
2010,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,2.4
2011,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,2.864
2012,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,3.295
2013,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,3.5389999999999997
2014,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,3.161
2015,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,2.5580000000000003
2016,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,3.391
2017,Greece,COMPST_SHARE,% Composting,PC,Percentage,Units,4.137
2000,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2001,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2002,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2003,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2004,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2005,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2006,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2007,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2008,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2009,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2010,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.0
2011,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.28600000000000003
2012,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.531
2013,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.5489999999999999
2014,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.47
2015,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.341
2016,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,0.503
2017,Greece,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,1.071
2000,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2001,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2002,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2003,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2004,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2005,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2006,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2007,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2008,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2009,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2010,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2011,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2012,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2013,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2014,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2015,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2016,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2017,Greece,INC_WITHOUT_SHARE,% Incineration without energy recovery,PC,Percentage,Units,0.0
2000,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2001,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2002,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2003,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2004,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2005,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2006,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2007,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2008,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2009,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2010,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2011,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.28600000000000003
2012,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.0
2013,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.5489999999999999
2014,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.47
2015,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.341
2016,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,0.503
2017,Greece,INC_SHARE,% Incineration,PC,Percentage,Units,1.071
2000,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,91.208
2001,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,91.182
2002,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,91.228
2003,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,91.89
2004,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,89.89399999999999
2005,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,88.23299999999999
2006,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,87.171
2007,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,79.96
2008,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,82.336
2009,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,81.12100000000001
2010,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,82.863
2011,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,81.955
2012,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,82.5
2013,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,83.66799999999999
2014,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,84.102
2015,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,83.87299999999999
2016,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,82.262
2017,Greece,LANDF_SHARE,% Landfill,PC,Percentage,Units,80.055
2000,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4552.0
2001,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4603.0
2002,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4646.0
2003,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4700.0
2004,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4591.6
2005,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4646.0
2006,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4711.0
2007,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4593.5
2008,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4553.0
2009,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4312.0
2010,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4033.0
2011,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,3809.0
2012,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,3988.0
2013,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,3738.0
2014,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,3795.0
2015,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,3712.0
2016,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,3721.0
2017,Hungary,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,3768.0
2000,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2674.0
2001,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2652.0
2002,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2685.0
2003,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2779.29
2004,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2654.0
2005,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2961.7
2006,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2978.0
2007,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2911.0
2008,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3444.0
2009,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3239.0
2010,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2844.0
2011,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2796.0
2012,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2744.0
2013,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2717.0
2014,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3136.0
2015,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3099.0
2016,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,3209.0
2017,Hungary,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,2922.0
2000,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1410.0
2001,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1537.4
2002,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1604.7
2003,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1510.9
2004,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1636.2
2005,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1684.3
2006,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1733.0
2007,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1682.5
2008,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1108.0
2009,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1073.0
2010,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1190.0
2011,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1012.0
2012,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1243.0
2013,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,1021.0
2014,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,659.0
2015,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,613.0
2016,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,512.0
2017,Hungary,OTHMUN,Other municipal waste,TONNE,Tonnes,Thousands,846.0
2000,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4157.13
2001,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4123.09
2002,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4243.17
2003,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4376.03
2004,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4552.0
2005,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4606.0
2006,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4671.0
2007,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4365.0
2008,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4426.0
2009,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4284.0
2010,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,4033.0
2011,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,3809.0
2012,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,3988.0
2013,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,3738.0
2014,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,3713.0
2015,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,3710.0
2016,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,3734.0
2017,Hungary,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,3752.0
2000,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,421.13
2001,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,427.35
2002,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,402.36
2003,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,408.31
2004,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,695.0
2005,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,747.0
2006,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,879.0
2007,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,936.0
2008,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1085.0
2009,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1072.0
2010,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1195.0
2011,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1246.0
2012,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1379.0
2013,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1323.0
2014,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1532.0
2015,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1719.0
2016,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1846.0
2017,Hungary,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,1927.0
2000,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,56.29
2001,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,56.92
2002,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,67.29
2003,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,116.99
2004,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,501.0
2005,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,403.0
2006,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,432.0
2007,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,490.0
2008,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,607.0
2009,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,576.0
2010,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,641.0
2011,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,654.0
2012,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,832.0
2013,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,799.0
2014,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,923.0
2015,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,963.0
2016,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,998.0
2017,Hungary,RECYCLING,Recycling,TONNE,Tonnes,Thousands,1010.0
2000,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,16.84
2001,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,17.03
2002,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,47.0
2003,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,46.8
2004,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,39.0
2005,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,41.0
2006,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,58.0
2007,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,64.0
2008,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,85.0
2009,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,90.0
2010,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,148.0
2011,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,184.0
2012,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,183.0
2013,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,188.0
2014,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,236.0
2015,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,231.0
2016,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,294.0
2017,Hungary,COMPOST,Composting,TONNE,Tonnes,Thousands,309.0
2000,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,348.0
2001,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,353.4
2002,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,288.07
2003,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,244.52
2004,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,155.0
2005,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,303.0
2006,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,389.0
2007,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,382.0
2008,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,393.0
2009,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,406.0
2010,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,406.0
2011,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,408.0
2012,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,364.0
2013,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,336.0
2014,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,373.0
2015,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,525.0
2016,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,554.0
2017,Hungary,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,608.0
2000,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3736.0
2001,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3695.74
2002,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3840.81
2003,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3967.72
2004,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3857.0
2005,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3859.0
2006,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3792.0
2007,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3429.0
2008,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3341.0
2009,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,3212.0
2010,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,2838.0
2011,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,2563.0
2012,Hungary,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,2609.0
