Year,Country,VAR,Variable,Unit Code,Unit,PowerCode,Value
2014,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,6002.07
2015,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,6486.13
2003,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,30.338
2007,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,36.803000000000004
2008,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,38.164
2009,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,39.478
2010,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,39.985
2011,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,42.261
2012,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,42.239
2013,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,42.216
2014,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,42.193000000000005
2015,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,42.004
2007,Australia,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,6.891
2008,Australia,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,6.85
2009,Australia,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,6.811
2010,Australia,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,7.932
2011,Australia,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,9.109
2012,Australia,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,10.062999999999999
2013,Australia,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,11.034
2014,Australia,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,12.023
2015,Australia,INC_WITH_SHARE,% Incineration with energy recovery,PC,Percentage,Units,9.391
2003,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,69.66199999999999
2007,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,56.306000000000004
2008,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,54.986000000000004
2009,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,53.711000000000006
2010,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,52.083
2011,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,48.63
2012,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,47.698
2013,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,46.748999999999995
2014,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,45.784
2015,Australia,LANDF_SHARE,% Landfill,PC,Percentage,Units,48.605
2000,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4321.0
2001,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4309.0
2002,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4589.0
2003,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4607.0
2004,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4686.7
2005,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4731.7
2006,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4932.5
2007,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4951.1
2008,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4996.9
2009,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4921.0
2010,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4700.8
2011,Austria,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,4806.9
