Year,Country,VAR,Value
2000,Australia,TOTAL,485018.616
2001,Australia,TOTAL,492461.681
2002,Australia,TOTAL,496318.641
2003,Australia,TOTAL,498118.962
2004,Australia,TOTAL,515931.287
2005,Australia,TOTAL,521801.01
2006,Australia,TOTAL,526437.29
2007,Australia,TOTAL,533138.415
2008,Australia,TOTAL,537031.992
2009,Australia,TOTAL,540913.37
2010,Australia,TOTAL,537275.249
2011,Australia,TOTAL,538280.611
2012,Australia,TOTAL,540615.865
2013,Australia,TOTAL,530433.519
2014,Australia,TOTAL,524957.101
2015,Australia,TOTAL,535173.674
2016,Australia,TOTAL,546771.76
2017,Australia,TOTAL,554126.561
2000,Austria,TOTAL,80414.98
2001,Austria,TOTAL,84324.341
2002,Austria,TOTAL,86110.742
2003,Austria,TOTAL,91788.393
2004,Austria,TOTAL,91382.837
2005,Austria,TOTAL,92566.556
2006,Austria,TOTAL,90117.311
2007,Austria,TOTAL,87472.735
2008,Austria,TOTAL,86816.181
2009,Austria,TOTAL,80328.502
2010,Austria,TOTAL,84753.257
2011,Austria,TOTAL,82460.3
2012,Austria,TOTAL,79811.325
2013,Austria,TOTAL,80352.532
2014,Austria,TOTAL,76679.763
2015,Austria,TOTAL,78897.253
2016,Austria,TOTAL,79596.112
2017,Austria,TOTAL,82261.468
2000,Belgium,TOTAL,149729.922
2001,Belgium,TOTAL,148131.89
2002,Belgium,TOTAL,147567.284
2003,Belgium,TOTAL,147932.269
2004,Belgium,TOTAL,149230.634
2005,Belgium,TOTAL,145283.842
2006,Belgium,TOTAL,142660.424
2007,Belgium,TOTAL,138960.92
2008,Belgium,TOTAL,138827.782
2009,Belgium,TOTAL,126262.687
2010,Belgium,TOTAL,132921.986
2011,Belgium,TOTAL,122198.356
2012,Belgium,TOTAL,119372.665
2013,Belgium,TOTAL,119304.384
2014,Belgium,TOTAL,113505.967
2015,Belgium,TOTAL,117122.085
2016,Belgium,TOTAL,115783.177
2017,Belgium,TOTAL,114539.902
2000,Canada,TOTAL,730587.602
2001,Canada,TOTAL,719733.428
2002,Canada,TOTAL,724348.553
2003,Canada,TOTAL,741002.788
2004,Canada,TOTAL,742971.644
2005,Canada,TOTAL,730349.476
2006,Canada,TOTAL,721444.528
2007,Canada,TOTAL,743766.91
2008,Canada,TOTAL,723225.103
2009,Canada,TOTAL,681699.295
2010,Canada,TOTAL,692618.853
2011,Canada,TOTAL,703378.949
2012,Canada,TOTAL,711023.233
2013,Canada,TOTAL,722062.808
2014,Canada,TOTAL,723090.986
2015,Canada,TOTAL,721992.084
2016,Canada,TOTAL,707727.166
2017,Canada,TOTAL,715749.232
2000,Czech Republic,TOTAL,149333.52
2001,Czech Republic,TOTAL,149096.973
2002,Czech Republic,TOTAL,145505.518
2003,Czech Republic,TOTAL,148758.854
2004,Czech Republic,TOTAL,149624.671
2005,Czech Republic,TOTAL,147494.144
2006,Czech Republic,TOTAL,148598.758
2007,Czech Republic,TOTAL,150336.765
2008,Czech Republic,TOTAL,145614.293
2009,Czech Republic,TOTAL,137214.519
2010,Czech Republic,TOTAL,139733.691
2011,Czech Republic,TOTAL,137753.144
2012,Czech Republic,TOTAL,133697.715
2013,Czech Republic,TOTAL,128691.099
2014,Czech Republic,TOTAL,126758.462
2015,Czech Republic,TOTAL,127777.826
2016,Czech Republic,TOTAL,129756.684
2017,Czech Republic,TOTAL,128675.047
2000,Denmark,TOTAL,71367.589
2001,Denmark,TOTAL,73066.247
2002,Denmark,TOTAL,72590.383
2003,Denmark,TOTAL,77644.968
2004,Denmark,TOTAL,71510.993
2005,Denmark,TOTAL,67090.868
2006,Denmark,TOTAL,74858.973
2007,Denmark,TOTAL,70293.314
2008,Denmark,TOTAL,66656.531
2009,Denmark,TOTAL,63875.914
2010,Denmark,TOTAL,64178.39
2011,Denmark,TOTAL,58946.94
2012,Denmark,TOTAL,54334.566
2013,Denmark,TOTAL,56021.366
2014,Denmark,TOTAL,51870.799
2015,Denmark,TOTAL,49253.853
2016,Denmark,TOTAL,51297.737
2017,Denmark,TOTAL,49225.641
2000,Finland,TOTAL,70129.822
2001,Finland,TOTAL,75490.3
2002,Finland,TOTAL,77946.671
2003,Finland,TOTAL,85531.912
2004,Finland,TOTAL,81841.153
2005,Finland,TOTAL,69812.897
2006,Finland,TOTAL,81174.185
2007,Finland,TOTAL,79513.286
2008,Finland,TOTAL,71399.309
2009,Finland,TOTAL,67804.042
2010,Finland,TOTAL,75626.967
2011,Finland,TOTAL,67805.301
2012,Finland,TOTAL,62415.207
2013,Finland,TOTAL,62893.828
2014,Finland,TOTAL,58733.067
2015,Finland,TOTAL,55122.852
2016,Finland,TOTAL,58044.309
2017,Finland,TOTAL,55334.134
2000,France,TOTAL,556370.453
2001,France,TOTAL,561354.832
2002,France,TOTAL,554879.239
2003,France,TOTAL,559543.624
2004,France,TOTAL,557794.011
2005,France,TOTAL,559498.925
2006,France,TOTAL,547093.229
2007,France,TOTAL,536947.728
2008,France,TOTAL,530315.424
2009,France,TOTAL,510350.606
2010,France,TOTAL,517115.54
2011,France,TOTAL,491009.447
2012,France,TOTAL,490856.472
2013,France,TOTAL,491141.064
2014,France,TOTAL,461479.202
2015,France,TOTAL,466384.615
2016,France,TOTAL,467622.112
2017,France,TOTAL,471028.185
2000,Germany,TOTAL,1045187.434
2001,Germany,TOTAL,1060271.286
2002,Germany,TOTAL,1038919.731
2003,Germany,TOTAL,1035574.182
2004,Germany,TOTAL,1019123.5
2005,Germany,TOTAL,993343.677
2006,Germany,TOTAL,1000637.861
2007,Germany,TOTAL,973941.704
2008,Germany,TOTAL,975645.902
2009,Germany,TOTAL,908054.023
2010,Germany,TOTAL,942541.887
2011,Germany,TOTAL,920305.852
2012,Germany,TOTAL,924611.396
2013,Germany,TOTAL,942250.052
2014,Germany,TOTAL,903196.414
2015,Germany,TOTAL,907190.482
2016,Germany,TOTAL,911049.006
2017,Germany,TOTAL,906611.464
2000,Greece,TOTAL,126346.422
2001,Greece,TOTAL,127398.953
2002,Greece,TOTAL,127395.403
2003,Greece,TOTAL,131131.716
2004,Greece,TOTAL,131814.31
2005,Greece,TOTAL,136281.248
2006,Greece,TOTAL,132390.972
2007,Greece,TOTAL,134996.582
2008,Greece,TOTAL,131716.461
2009,Greece,TOTAL,124534.99
2010,Greece,TOTAL,118436.486
2011,Greece,TOTAL,115453.96
2012,Greece,TOTAL,112146.281
2013,Greece,TOTAL,102546.572
2014,Greece,TOTAL,99113.106
2015,Greece,TOTAL,95330.374
2016,Greece,TOTAL,91697.733
2017,Greece,TOTAL,95420.782
2000,Hungary,TOTAL,73207.971
2001,Hungary,TOTAL,75243.855
2002,Hungary,TOTAL,73602.067
2003,Hungary,TOTAL,76638.835
2004,Hungary,TOTAL,75604.515
2005,Hungary,TOTAL,75359.657
2006,Hungary,TOTAL,74143.447
2007,Hungary,TOTAL,72383.62
2008,Hungary,TOTAL,70576.452
2009,Hungary,TOTAL,64585.792
2010,Hungary,TOTAL,64949.134
2011,Hungary,TOTAL,63351.009
2012,Hungary,TOTAL,59647.182
2013,Hungary,TOTAL,56795.769
2014,Hungary,TOTAL,57415.82
2015,Hungary,TOTAL,60767.143
2016,Hungary,TOTAL,61139.78
2017,Hungary,TOTAL,63787.58
2000,Iceland,TOTAL,4037.677
2001,Iceland,TOTAL,3935.29
2002,Iceland,TOTAL,4005.901
2003,Iceland,TOTAL,3984.219
2004,Iceland,TOTAL,4088.266
2005,Iceland,TOTAL,3947.31
2006,Iceland,TOTAL,4547.647
2007,Iceland,TOTAL,4853.207
2008,Iceland,TOTAL,5241.397
2009,Iceland,TOTAL,4943.028
2010,Iceland,TOTAL,4844.821
2011,Iceland,TOTAL,4581.642
2012,Iceland,TOTAL,4601.812
2013,Iceland,TOTAL,4598.715
2014,Iceland,TOTAL,4634.494
2015,Iceland,TOTAL,4715.093
2016,Iceland,TOTAL,4639.913
2017,Iceland,TOTAL,4754.644
2000,Ireland,TOTAL,68478.407
2001,Ireland,TOTAL,70475.259
2002,Ireland,TOTAL,68428.659
2003,Ireland,TOTAL,68662.575
2004,Ireland,TOTAL,67963.834
2005,Ireland,TOTAL,69495.032
2006,Ireland,TOTAL,68782.226
2007,Ireland,TOTAL,68018.498
2008,Ireland,TOTAL,67301.827
2009,Ireland,TOTAL,61547.234
2010,Ireland,TOTAL,61104.844
2011,Ireland,TOTAL,56989.193
2012,Ireland,TOTAL,57611.534
2013,Ireland,TOTAL,57410.215
2014,Ireland,TOTAL,57098.537
2015,Ireland,TOTAL,59211.813
2016,Ireland,TOTAL,61270.202
2017,Ireland,TOTAL,60743.725
2000,Italy,TOTAL,554105.749
2001,Italy,TOTAL,561225.23
2002,Italy,TOTAL,561242.991
2003,Italy,TOTAL,575695.548
2004,Italy,TOTAL,579999.234
2005,Italy,TOTAL,580599.891
2006,Italy,TOTAL,570044.72
2007,Italy,TOTAL,560568.96
2008,Italy,TOTAL,547846.689
2009,Italy,TOTAL,496177.671
2010,Italy,TOTAL,505773.047
2011,Italy,TOTAL,492475.307
2012,Italy,TOTAL,472722.356
2013,Italy,TOTAL,442708.383
2014,Italy,TOTAL,426211.75
2015,Italy,TOTAL,434043.793
2016,Italy,TOTAL,432119.011
2017,Italy,TOTAL,427707.847
2000,Japan,TOTAL,1374846.588
2001,Japan,TOTAL,1349407.01
2002,Japan,TOTAL,1373198
2003,Japan,TOTAL,1379176.143
2004,Japan,TOTAL,1371761.543
2005,Japan,TOTAL,1378956.848
2006,Japan,TOTAL,1357394.991
2007,Japan,TOTAL,1393442.086
2008,Japan,TOTAL,1321398.226
2009,Japan,TOTAL,1248598.695
2010,Japan,TOTAL,1302731.547
2011,Japan,TOTAL,1353795.033
2012,Japan,TOTAL,1396605.099
2013,Japan,TOTAL,1408057.251
2014,Japan,TOTAL,1360070.649
2015,Japan,TOTAL,1321466.534
2016,Japan,TOTAL,1305751.328
2017,Japan,TOTAL,1289630.582
2000,Korea,TOTAL,501430
2001,Korea,TOTAL,514637
2002,Korea,TOTAL,536010
2003,Korea,TOTAL,546328
2004,Korea,TOTAL,555171
2005,Korea,TOTAL,559146
2006,Korea,TOTAL,564456
2007,Korea,TOTAL,579527
2008,Korea,TOTAL,592709
2009,Korea,TOTAL,597564
2010,Korea,TOTAL,657428
2011,Korea,TOTAL,682945
2012,Korea,TOTAL,687126
2013,Korea,TOTAL,696749
2014,Korea,TOTAL,690944
2015,Korea,TOTAL,692924
2016,Korea,TOTAL,694066
2000,Luxembourg,TOTAL,9678.139
2001,Luxembourg,TOTAL,10165.429
2002,Luxembourg,TOTAL,10941.889
2003,Luxembourg,TOTAL,11380.837
2004,Luxembourg,TOTAL,12783.081
2005,Luxembourg,TOTAL,13024.764
2006,Luxembourg,TOTAL,12852.453
2007,Luxembourg,TOTAL,12267.328
2008,Luxembourg,TOTAL,12153.882
2009,Luxembourg,TOTAL,11607.673
2010,Luxembourg,TOTAL,12180.078
2011,Luxembourg,TOTAL,12061.974
2012,Luxembourg,TOTAL,11781.298
2013,Luxembourg,TOTAL,11238.613
2014,Luxembourg,TOTAL,10786.88
2015,Luxembourg,TOTAL,10294.939
2016,Luxembourg,TOTAL,10051.955
2017,Luxembourg,TOTAL,10236.084
2000,Mexico,TOTAL,544660.103
2001,Mexico,TOTAL,537610.978
2002,Mexico,TOTAL,557652.412
2003,Mexico,TOTAL,563298.299
2004,Mexico,TOTAL,574316.756
2005,Mexico,TOTAL,592587.216
2006,Mexico,TOTAL,616361.7
2007,Mexico,TOTAL,646665.303
2008,Mexico,TOTAL,691822.339
2009,Mexico,TOTAL,671577.378
2010,Mexico,TOTAL,669084.029
2011,Mexico,TOTAL,681190.359
2012,Mexico,TOTAL,673721.904
2013,Mexico,TOTAL,683120.592
2014,Mexico,TOTAL,686159.5
2015,Mexico,TOTAL,699564.266
2000,Netherlands,TOTAL,219304.191
2001,Netherlands,TOTAL,220007.279
2002,Netherlands,TOTAL,217878.9
2003,Netherlands,TOTAL,218563.745
2004,Netherlands,TOTAL,219970.34
2005,Netherlands,TOTAL,214308.461
2006,Netherlands,TOTAL,209233.952
2007,Netherlands,TOTAL,207700.182
2008,Netherlands,TOTAL,207095.003
2009,Netherlands,TOTAL,201412.673
2010,Netherlands,TOTAL,213363.026
2011,Netherlands,TOTAL,199235.364
2012,Netherlands,TOTAL,195346.943
2013,Netherlands,TOTAL,194953.949
2014,Netherlands,TOTAL,187281.881
2015,Netherlands,TOTAL,195560.414
2016,Netherlands,TOTAL,195384.316
2017,Netherlands,TOTAL,193259.922
2000,New Zealand,TOTAL,76179.517
2001,New Zealand,TOTAL,79102.958
2002,New Zealand,TOTAL,79386.992
2003,New Zealand,TOTAL,81590.528
2004,New Zealand,TOTAL,81250.987
2005,New Zealand,TOTAL,83270.227
2006,New Zealand,TOTAL,83442.279
2007,New Zealand,TOTAL,81325.401
2008,New Zealand,TOTAL,81266.895
2009,New Zealand,TOTAL,78477.27
2010,New Zealand,TOTAL,78964.898
2011,New Zealand,TOTAL,78679.12
2012,New Zealand,TOTAL,81054.662
2013,New Zealand,TOTAL,80540.662
2014,New Zealand,TOTAL,81310.135
2015,New Zealand,TOTAL,81202.023
2016,New Zealand,TOTAL,79136.114
2017,New Zealand,TOTAL,80853.468
2000,Norway,TOTAL,54831.963
2001,Norway,TOTAL,56117.814
2002,Norway,TOTAL,55029.012
2003,Norway,TOTAL,55694.303
2004,Norway,TOTAL,56203.397
2005,Norway,TOTAL,55366.869
2006,Norway,TOTAL,55327.358
2007,Norway,TOTAL,57013.372
2008,Norway,TOTAL,55595.911
2009,Norway,TOTAL,53178.49
2010,Norway,TOTAL,55466.75
2011,Norway,TOTAL,54638.046
2012,Norway,TOTAL,54090.283
2013,Norway,TOTAL,54015.24
2014,Norway,TOTAL,54127.25
2015,Norway,TOTAL,54450.031
2016,Norway,TOTAL,53607.837
2017,Norway,TOTAL,52712.543
2000,Poland,TOTAL,395472.416
2001,Poland,TOTAL,394370.742
2002,Poland,TOTAL,384386.31
2003,Poland,TOTAL,398004.613
2004,Poland,TOTAL,403040.147
2005,Poland,TOTAL,403424.419
2006,Poland,TOTAL,418137.524
2007,Poland,TOTAL,418633.151
2008,Poland,TOTAL,411395.642
2009,Poland,TOTAL,393443.182
2010,Poland,TOTAL,411668.712
2011,Poland,TOTAL,411033.612
2012,Poland,TOTAL,403648.282
2013,Poland,TOTAL,399974.183
2014,Poland,TOTAL,387087.466
2015,Poland,TOTAL,390444.595
2016,Poland,TOTAL,399122.535
2017,Poland,TOTAL,413781.401
2000,Portugal,TOTAL,82081.959
2001,Portugal,TOTAL,81689.752
2002,Portugal,TOTAL,85600.833
2003,Portugal,TOTAL,80266.192
2004,Portugal,TOTAL,83348.684
2005,Portugal,TOTAL,85610.351
2006,Portugal,TOTAL,80855.01
2007,Portugal,TOTAL,78574.829
2008,Portugal,TOTAL,76157.326
2009,Portugal,TOTAL,73032.489
2010,Portugal,TOTAL,68800.683
2011,Portugal,TOTAL,67416.853
2012,Portugal,TOTAL,65556.088
2013,Portugal,TOTAL,63710.727
2014,Portugal,TOTAL,63708.929
2015,Portugal,TOTAL,67735.408
2016,Portugal,TOTAL,65935.728
2017,Portugal,TOTAL,70546.297
2000,Slovak Republic,TOTAL,49196.019
2001,Slovak Republic,TOTAL,51474.964
2002,Slovak Republic,TOTAL,50119.834
2003,Slovak Republic,TOTAL,50423.818
2004,Slovak Republic,TOTAL,51115.302
2005,Slovak Republic,TOTAL,51142.215
2006,Slovak Republic,TOTAL,51030.315
2007,Slovak Republic,TOTAL,49243.411
2008,Slovak Republic,TOTAL,49712.73
2009,Slovak Republic,TOTAL,45429.066
2010,Slovak Republic,TOTAL,46295.494
2011,Slovak Republic,TOTAL,45545.21
2012,Slovak Republic,TOTAL,43057.228
2013,Slovak Republic,TOTAL,42727.14
2014,Slovak Republic,TOTAL,40659.916
2015,Slovak Republic,TOTAL,41644.663
2016,Slovak Republic,TOTAL,42153.867
2017,Slovak Republic,TOTAL,43316.448
2000,Spain,TOTAL,387527.927
2001,Spain,TOTAL,385240.586
2002,Spain,TOTAL,403569.262
2003,Spain,TOTAL,410975.148
2004,Spain,TOTAL,426792.945
2005,Spain,TOTAL,441038.21
2006,Spain,TOTAL,434005.888
2007,Spain,TOTAL,445157.524
2008,Spain,TOTAL,411404.408
2009,Spain,TOTAL,372107.49
2010,Spain,TOTAL,357676.78
2011,Spain,TOTAL,357344.003
2012,Spain,TOTAL,350671.711
2013,Spain,TOTAL,323441.196
2014,Spain,TOTAL,326121
2015,Spain,TOTAL,337598.745
2016,Spain,TOTAL,326383.407
2017,Spain,TOTAL,340230.876
2000,Sweden,TOTAL,68482.627
2001,Sweden,TOTAL,68853.733
2002,Sweden,TOTAL,69791.149
2003,Sweden,TOTAL,70211.601
2004,Sweden,TOTAL,69319.207
2005,Sweden,TOTAL,66587.267
2006,Sweden,TOTAL,66536.133
2007,Sweden,TOTAL,64935.639
2008,Sweden,TOTAL,62566.497
2009,Sweden,TOTAL,58340.457
2010,Sweden,TOTAL,64282.221
2011,Sweden,TOTAL,60207.287
2012,Sweden,TOTAL,56872.55
2013,Sweden,TOTAL,55366.277
2014,Sweden,TOTAL,53831.574
2015,Sweden,TOTAL,53460.575
2016,Sweden,TOTAL,52942.814
2017,Sweden,TOTAL,52660.267
2000,Switzerland,TOTAL,52352.21
2001,Switzerland,TOTAL,53893.457
2002,Switzerland,TOTAL,52265.519
2003,Switzerland,TOTAL,53400.853
2004,Switzerland,TOTAL,54029.308
2005,Switzerland,TOTAL,54714.178
2006,Switzerland,TOTAL,54334.777
2007,Switzerland,TOTAL,52441.789
2008,Switzerland,TOTAL,53913.729
2009,Switzerland,TOTAL,52562.466
2010,Switzerland,TOTAL,54117.093
2011,Switzerland,TOTAL,50028.65
2012,Switzerland,TOTAL,51455.519
2013,Switzerland,TOTAL,52229.405
2014,Switzerland,TOTAL,48364.096
2015,Switzerland,TOTAL,47815.882
2016,Switzerland,TOTAL,48182.776
2017,Switzerland,TOTAL,47158.963
2000,Turkey,TOTAL,298889.947
2001,Turkey,TOTAL,280410.863
2002,Turkey,TOTAL,286072.834
2003,Turkey,TOTAL,305596.127
2004,Turkey,TOTAL,314951.025
2005,Turkey,TOTAL,337212.68
2006,Turkey,TOTAL,358154.98
2007,Turkey,TOTAL,391422.846
2008,Turkey,TOTAL,387593.327
2009,Turkey,TOTAL,395515.458
2010,Turkey,TOTAL,398660.533
2011,Turkey,TOTAL,427571.905
2012,Turkey,TOTAL,446935.087
2013,Turkey,TOTAL,438968.822
2014,Turkey,TOTAL,457961.868
2015,Turkey,TOTAL,472190.81
2016,Turkey,TOTAL,498468.939
2017,Turkey,TOTAL,526252.988
2000,United Kingdom,TOTAL,715687.11
2001,United Kingdom,TOTAL,718693.019
2002,United Kingdom,TOTAL,699148.15
2003,United Kingdom,TOTAL,706205.017
2004,United Kingdom,TOTAL,702933.154
2005,United Kingdom,TOTAL,695164.991
2006,United Kingdom,TOTAL,688015.337
2007,United Kingdom,TOTAL,676322.436
2008,United Kingdom,TOTAL,655903.39
2009,United Kingdom,TOTAL,599870.776
2010,United Kingdom,TOTAL,614360.615
2011,United Kingdom,TOTAL,567160.785
2012,United Kingdom,TOTAL,583652.53
2013,United Kingdom,TOTAL,569901.739
2014,United Kingdom,TOTAL,529502.806
2015,United Kingdom,TOTAL,511980.26
2016,United Kingdom,TOTAL,487034.986
2017,United Kingdom,TOTAL,474346.119
2000,United States,TOTAL,7232010.774
2001,United States,TOTAL,7116810.082
2002,United States,TOTAL,7156652.868
2003,United States,TOTAL,7199262.662
2004,United States,TOTAL,7333052.049
2005,United States,TOTAL,7339039.869
2006,United States,TOTAL,7270326.948
2007,United States,TOTAL,7369967.706
2008,United States,TOTAL,7160600.813
2009,United States,TOTAL,6709369.145
2010,United States,TOTAL,6938591.681
2011,United States,TOTAL,6787419.028
2012,United States,TOTAL,6545969.331
2013,United States,TOTAL,6710218.175
2014,United States,TOTAL,6759995.633
2015,United States,TOTAL,6623775.479
2016,United States,TOTAL,6492267.425
2017,United States,TOTAL,6456718.193
2000,Chile,TOTAL,76586.655
2001,Chile,TOTAL,74731.673
2002,Chile,TOTAL,76179.429
2003,Chile,TOTAL,76956.024
2004,Chile,TOTAL,82608.999
2005,Chile,TOTAL,84333.73
2006,Chile,TOTAL,85554.923
2007,Chile,TOTAL,93655.963
2008,Chile,TOTAL,94261.927
2009,Chile,TOTAL,90886.579
2010,Chile,TOTAL,91862.257
2011,Chile,TOTAL,99861.19
2012,Chile,TOTAL,104492.363
2013,Chile,TOTAL,104304.348
2014,Chile,TOTAL,101473.89
2015,Chile,TOTAL,108243.312
2016,Chile,TOTAL,111677.506
2000,Estonia,TOTAL,17359.616
2001,Estonia,TOTAL,17760.351
2002,Estonia,TOTAL,17221.192
2003,Estonia,TOTAL,19110.046
2004,Estonia,TOTAL,19374.736
2005,Estonia,TOTAL,19203.239
2006,Estonia,TOTAL,18498.049
2007,Estonia,TOTAL,22224.685
2008,Estonia,TOTAL,20046.143
2009,Estonia,TOTAL,16757.925
2010,Estonia,TOTAL,21213.674
2011,Estonia,TOTAL,21258.933
2012,Estonia,TOTAL,20170.85
2013,Estonia,TOTAL,21941.907
2014,Estonia,TOTAL,21147.38
2015,Estonia,TOTAL,18126.699
2016,Estonia,TOTAL,19664.974
2017,Estonia,TOTAL,20879.879
2000,Israel,TOTAL,67163
2003,Israel,TOTAL,71447.592
2004,Israel,TOTAL,71882.615
2005,Israel,TOTAL,72400.331
2006,Israel,TOTAL,73781.328
2007,Israel,TOTAL,76930.178
2008,Israel,TOTAL,78435.197
2009,Israel,TOTAL,74568.173
2010,Israel,TOTAL,77235.616
2011,Israel,TOTAL,79187.523
2012,Israel,TOTAL,85028.104
2013,Israel,TOTAL,79568.917
2014,Israel,TOTAL,76957.357
2015,Israel,TOTAL,80600.538
2016,Israel,TOTAL,79935.036
2000,Russia,TOTAL,1900819.656
2001,Russia,TOTAL,1941993.687
2002,Russia,TOTAL,1923732.088
2003,Russia,TOTAL,1958581.742
2004,Russia,TOTAL,1973483.878
2005,Russia,TOTAL,1993962.737
2006,Russia,TOTAL,2056688.154
2007,Russia,TOTAL,2058076.278
2008,Russia,TOTAL,2097172.648
2009,Russia,TOTAL,1960223.768
2010,Russia,TOTAL,2057672.767
2011,Russia,TOTAL,2120496.667
2012,Russia,TOTAL,2146305.498
2013,Russia,TOTAL,2090717.033
2014,Russia,TOTAL,2089475.082
2015,Russia,TOTAL,2093652.942
2016,Russia,TOTAL,2097476.836
2017,Russia,TOTAL,2155470.669
2000,Slovenia,TOTAL,19075.523
2001,Slovenia,TOTAL,19994.173
2002,Slovenia,TOTAL,20175.998
2003,Slovenia,TOTAL,19899.911
2004,Slovenia,TOTAL,20217.008
2005,Slovenia,TOTAL,20519.463
2006,Slovenia,TOTAL,20707.174
2007,Slovenia,TOTAL,20847.162
2008,Slovenia,TOTAL,21572.751
2009,Slovenia,TOTAL,19601.546
2010,Slovenia,TOTAL,19625.913
2011,Slovenia,TOTAL,19634.791
2012,Slovenia,TOTAL,19062.286
2013,Slovenia,TOTAL,18359.167
2014,Slovenia,TOTAL,16625.556
2015,Slovenia,TOTAL,16819.79
2016,Slovenia,TOTAL,17681.281
2017,Slovenia,TOTAL,17453.495
2000,Canada,WAS,20199.773
2001,Canada,WAS,19754.794
2002,Canada,WAS,20346.312
2003,Canada,WAS,19957.851
2004,Canada,WAS,20527.951
2005,Canada,WAS,20154.392
2006,Canada,WAS,21152.54
2007,Canada,WAS,20840.989
2008,Canada,WAS,19728.601
2009,Canada,WAS,18659.024
2010,Canada,WAS,18381.221
2011,Canada,WAS,18238.279
2012,Canada,WAS,17727.465
2013,Canada,WAS,18233.901
2014,Canada,WAS,18698.015
2015,Canada,WAS,18782.287
2016,Canada,WAS,18696.518
2017,Canada,WAS,18758.39
2000,Luxembourg,WAS,104.612
2001,Luxembourg,WAS,103.983
2002,Luxembourg,WAS,104.277
2003,Luxembourg,WAS,108.875
2004,Luxembourg,WAS,104.055
2005,Luxembourg,WAS,104.664
2006,Luxembourg,WAS,104.735
2007,Luxembourg,WAS,106.244
2008,Luxembourg,WAS,107.107
2009,Luxembourg,WAS,106.462
2010,Luxembourg,WAS,95.192
2011,Luxembourg,WAS,91.331
2012,Luxembourg,WAS,89.047
2013,Luxembourg,WAS,89.553
2014,Luxembourg,WAS,90.667
2015,Luxembourg,WAS,85.191
2016,Luxembourg,WAS,83.232
2017,Luxembourg,WAS,84.319
2000,Portugal,WAS,6140.364
2001,Portugal,WAS,6298.287
2002,Portugal,WAS,6433.524
2003,Portugal,WAS,6584.876
2004,Portugal,WAS,6574.025
2005,Portugal,WAS,6463.481
2006,Portugal,WAS,6383.472
2007,Portugal,WAS,6238.038
2008,Portugal,WAS,6046.153
2009,Portugal,WAS,5946.096
2010,Portugal,WAS,5808.331
2011,Portugal,WAS,5741.309
2012,Portugal,WAS,5538.611
2013,Portugal,WAS,5362.44
2014,Portugal,WAS,5227.238
2015,Portugal,WAS,4883.911
2016,Portugal,WAS,4728.02
2017,Portugal,WAS,4666.605
2000,Estonia,IND_PROC,694.883
2001,Estonia,IND_PROC,730.083
2002,Estonia,IND_PROC,552.292
2003,Estonia,IND_PROC,600.156
2004,Estonia,IND_PROC,740.456
2005,Estonia,IND_PROC,725.502
2006,Estonia,IND_PROC,763.691
2007,Estonia,IND_PROC,956.729
2008,Estonia,IND_PROC,964.143
2009,Estonia,IND_PROC,475.448
2010,Estonia,IND_PROC,537.006
2011,Estonia,IND_PROC,660.437
2012,Estonia,IND_PROC,904.671
2013,Estonia,IND_PROC,996.371
2014,Estonia,IND_PROC,708.066
2015,Estonia,IND_PROC,512.564
2016,Estonia,IND_PROC,500.605
2017,Estonia,IND_PROC,639.53
2000,Czech Republic,IND_PROC,14916.431
2001,Czech Republic,IND_PROC,14153.577
2002,Czech Republic,IND_PROC,13939.644
2003,Czech Republic,IND_PROC,14989.074
2004,Czech Republic,IND_PROC,15925.086
2005,Czech Republic,IND_PROC,14790.378
2006,Czech Republic,IND_PROC,15828.726
2007,Czech Republic,IND_PROC,16604.186
2008,Czech Republic,IND_PROC,16565.034
2009,Czech Republic,IND_PROC,14054.541
2010,Czech Republic,IND_PROC,15022.884
2011,Czech Republic,IND_PROC,15253.973
2012,Czech Republic,IND_PROC,15029.475
2013,Czech Republic,IND_PROC,14896.846
2014,Czech Republic,IND_PROC,15752.164
2015,Czech Republic,IND_PROC,15402.408
2016,Czech Republic,IND_PROC,15573.794
2017,Czech Republic,IND_PROC,15656.349
2000,Mexico,ENER,388524.421
2001,Mexico,ENER,384016.621
2002,Mexico,ENER,403130.019
2003,Mexico,ENER,405611.557
2004,Mexico,ENER,415276.319
2005,Mexico,ENER,427667.238
2006,Mexico,ENER,446791.302
2007,Mexico,ENER,469983.561
2008,Mexico,ENER,512085.954
2009,Mexico,ENER,491313.434
2010,Mexico,ENER,482483.74
2011,Mexico,ENER,488342.824
2012,Mexico,ENER,482297.096
2013,Mexico,ENER,488339.507
2014,Mexico,ENER,486760.061
2015,Mexico,ENER,497483.996
2000,Hungary,ENER,54665.138
2001,Hungary,ENER,56584.688
2002,Hungary,ENER,55393.694
2003,Hungary,ENER,58374.083
2004,Hungary,ENER,56459.401
2005,Hungary,ENER,55961.534
2006,Hungary,ENER,55204.437
2007,Hungary,ENER,53697.864
2008,Hungary,ENER,53031.755
2009,Hungary,ENER,48430.079
2010,Hungary,ENER,48770.19
2011,Hungary,ENER,47019.107
2012,Hungary,ENER,43767.962
2013,Hungary,ENER,41313.095
2014,Hungary,ENER,40875.771
2015,Hungary,ENER,43338.444
2016,Hungary,ENER,44451.963
2017,Hungary,ENER,46150.071
2000,Germany,WAS,28637.138
